"","date","AHH"
"1","2013-05-08",11.58
"2","2013-05-09",11.55
"3","2013-05-10",11.6
"4","2013-05-13",11.65
"5","2013-05-14",11.53
"6","2013-05-15",11.6
"7","2013-05-16",11.74
"8","2013-05-17",11.76
"9","2013-05-20",11.73
"10","2013-05-21",11.83
"11","2013-05-22",11.75
"12","2013-05-23",11.61
"13","2013-05-24",11.7
"14","2013-05-28",11.58
"15","2013-05-29",11.25
"16","2013-05-30",11.55
"17","2013-05-31",11.47
"18","2013-06-03",11.52
"19","2013-06-04",11.51
"20","2013-06-05",11.55
"21","2013-06-06",11.62
"22","2013-06-07",11.6
"23","2013-06-10",11.65
"24","2013-06-11",11.56
"25","2013-06-12",11.49
"26","2013-06-13",11.49
"27","2013-06-14",11.45
"28","2013-06-17",11.55
"29","2013-06-18",11.51
"30","2013-06-19",11.3
"31","2013-06-20",11.13
"32","2013-06-21",11.27
"33","2013-06-24",11.22
"34","2013-06-25",11.38
"35","2013-06-26",11.38
"36","2013-06-27",11.46
"37","2013-06-28",11.78
"38","2013-07-01",11.67
"39","2013-07-02",11.71
"40","2013-07-03",11.74
"41","2013-07-05",11.82
"42","2013-07-08",11.47
"43","2013-07-09",11.19
"44","2013-07-10",11.03
"45","2013-07-11",11.14
"46","2013-07-12",11.14
"47","2013-07-15",11.11
"48","2013-07-16",11.36
"49","2013-07-17",11.12
"50","2013-07-18",11.22
"51","2013-07-19",11.27
"52","2013-07-22",11.2
"53","2013-07-23",11.23
"54","2013-07-24",11.18
"55","2013-07-25",11.21
"56","2013-07-26",10.96
"57","2013-07-29",11.07
"58","2013-07-30",11.06
"59","2013-07-31",10.87
"60","2013-08-01",10.81
"61","2013-08-02",10.81
"62","2013-08-05",10.85
"63","2013-08-06",10.8
"64","2013-08-07",10.69
"65","2013-08-08",10.42
"66","2013-08-09",10.35
"67","2013-08-12",10.64
"68","2013-08-13",10.32
"69","2013-08-14",10.21
"70","2013-08-15",9.74
"71","2013-08-16",9.4
"72","2013-08-19",9.05
"73","2013-08-20",9.21
"74","2013-08-21",9.47
"75","2013-08-22",9.62
"76","2013-08-23",9.68
"77","2013-08-26",9.88
"78","2013-08-27",9.78
"79","2013-08-28",9.39
"80","2013-08-29",9.4
"81","2013-08-30",9.39
"82","2013-09-03",9.28
"83","2013-09-04",9.35
"84","2013-09-05",9.36
"85","2013-09-06",9.44
"86","2013-09-09",9.83
"87","2013-09-10",9.51
"88","2013-09-11",9.41
"89","2013-09-12",9.53
"90","2013-09-13",9.53
"91","2013-09-16",9.49
"92","2013-09-17",9.62
"93","2013-09-18",9.89
"94","2013-09-19",10.12
"95","2013-09-20",10.89
"96","2013-09-23",10.8
"97","2013-09-24",10.78
"98","2013-09-25",10.45
"99","2013-09-26",10.6
"100","2013-09-27",10.07
"101","2013-09-30",9.91
"102","2013-10-01",9.54
"103","2013-10-02",9.66
"104","2013-10-03",9.6
"105","2013-10-04",9.74
"106","2013-10-07",9.72
"107","2013-10-08",9.72
"108","2013-10-09",9.6
"109","2013-10-10",9.93
"110","2013-10-11",10.22
"111","2013-10-14",10.21
"112","2013-10-15",10.06
"113","2013-10-16",10.19
"114","2013-10-17",10.23
"115","2013-10-18",10.48
"116","2013-10-21",10.53
"117","2013-10-22",10.62
"118","2013-10-23",10.68
"119","2013-10-24",10.41
"120","2013-10-25",10.51
"121","2013-10-28",10.62
"122","2013-10-29",10.13
"123","2013-10-30",9.95
"124","2013-10-31",9.62
"125","2013-11-01",9.62
"126","2013-11-04",9.62
"127","2013-11-05",9.5
"128","2013-11-06",9.58
"129","2013-11-07",9.33
"130","2013-11-08",9.49
"131","2013-11-11",9.67
"132","2013-11-12",9.73
"133","2013-11-13",9.69
"134","2013-11-14",9.71
"135","2013-11-15",9.94
"136","2013-11-18",10.15
"137","2013-11-19",9.85
"138","2013-11-20",9.9
"139","2013-11-21",10.1
"140","2013-11-22",10.53
"141","2013-11-25",10.21
"142","2013-11-26",10.3
"143","2013-11-27",10.25
"144","2013-11-29",10.24
"145","2013-12-02",9.88
"146","2013-12-03",10.09
"147","2013-12-04",10.04
"148","2013-12-05",9.96
"149","2013-12-06",10.09
"150","2013-12-09",10.46
"151","2013-12-10",10.03
"152","2013-12-11",9.68
"153","2013-12-12",9.45
"154","2013-12-13",9.6
"155","2013-12-16",9.64
"156","2013-12-17",9.5
"157","2013-12-18",9.48
"158","2013-12-19",9.31
"159","2013-12-20",9.52
"160","2013-12-23",9.47
"161","2013-12-24",9.5
"162","2013-12-26",9.39
"163","2013-12-27",9.36
"164","2013-12-30",9.1
"165","2013-12-31",9.28
"166","2014-01-02",9.53
"167","2014-01-03",9.51
"168","2014-01-06",9.7
"169","2014-01-07",9.79
"170","2014-01-08",9.84
"171","2014-01-09",9.95
"172","2014-01-10",9.76
"173","2014-01-13",9.72
"174","2014-01-14",9.98
"175","2014-01-15",10.1
"176","2014-01-16",9.73
"177","2014-01-17",9.5
"178","2014-01-21",9.44
"179","2014-01-22",9.53
"180","2014-01-23",9.67
"181","2014-01-24",9.41
"182","2014-01-27",9.33
"183","2014-01-28",9.29
"184","2014-01-29",9.08
"185","2014-01-30",9.18
"186","2014-01-31",9.1
"187","2014-02-03",8.9
"188","2014-02-04",9.09
"189","2014-02-05",8.89
"190","2014-02-06",8.94
"191","2014-02-07",8.85
"192","2014-02-10",8.9
"193","2014-02-11",9.06
"194","2014-02-12",9.01
"195","2014-02-13",9.02
"196","2014-02-14",9.09
"197","2014-02-18",9.31
"198","2014-02-19",9.32
"199","2014-02-20",9.52
"200","2014-02-21",9.65
"201","2014-02-24",9.7
"202","2014-02-25",9.72
"203","2014-02-26",9.86
"204","2014-02-27",9.87
"205","2014-02-28",9.79
"206","2014-03-03",9.94
"207","2014-03-04",10
"208","2014-03-05",10.2
"209","2014-03-06",10.07
"210","2014-03-07",10.05
"211","2014-03-10",10.09
"212","2014-03-11",9.96
"213","2014-03-12",10.1
"214","2014-03-13",10.15
"215","2014-03-14",10.41
"216","2014-03-17",10.41
"217","2014-03-18",10.57
"218","2014-03-19",10.44
"219","2014-03-20",10.39
"220","2014-03-21",10.28
"221","2014-03-24",10.01
"222","2014-03-25",10.15
"223","2014-03-26",10.01
"224","2014-03-27",10.14
"225","2014-03-28",9.98
"226","2014-03-31",10.04
"227","2014-04-01",10.05
"228","2014-04-02",10.08
"229","2014-04-03",10.08
"230","2014-04-04",9.97
"231","2014-04-07",9.92
"232","2014-04-08",9.9
"233","2014-04-09",9.95
"234","2014-04-10",9.82
"235","2014-04-11",9.75
"236","2014-04-14",9.68
"237","2014-04-15",9.76
"238","2014-04-16",9.85
"239","2014-04-17",10.02
"240","2014-04-21",9.98
"241","2014-04-22",10.04
"242","2014-04-23",9.8
"243","2014-04-24",9.77
"244","2014-04-25",9.63
"245","2014-04-28",9.63
"246","2014-04-29",9.71
"247","2014-04-30",9.68
"248","2014-05-01",9.64
"249","2014-05-02",9.59
"250","2014-05-05",9.54
"251","2014-05-06",9.41
"252","2014-05-07",9.44
"253","2014-05-08",9.43
"254","2014-05-09",9.58
"255","2014-05-12",9.95
"256","2014-05-13",9.87
"257","2014-05-14",9.82
"258","2014-05-15",9.63
"259","2014-05-16",9.74
"260","2014-05-19",9.77
"261","2014-05-20",9.67
"262","2014-05-21",9.52
"263","2014-05-22",9.52
"264","2014-05-23",9.75
"265","2014-05-27",9.9
"266","2014-05-28",9.65
"267","2014-05-29",9.62
"268","2014-05-30",9.66
"269","2014-06-02",9.63
"270","2014-06-03",9.56
"271","2014-06-04",9.64
"272","2014-06-05",9.85
"273","2014-06-06",9.86
"274","2014-06-09",9.84
"275","2014-06-10",9.71
"276","2014-06-11",9.6
"277","2014-06-12",9.74
"278","2014-06-13",9.69
"279","2014-06-16",9.59
"280","2014-06-17",9.55
"281","2014-06-18",9.6
"282","2014-06-19",9.57
"283","2014-06-20",9.73
"284","2014-06-23",9.75
"285","2014-06-24",9.76
"286","2014-06-25",9.8
"287","2014-06-26",9.79
"288","2014-06-27",9.75
"289","2014-06-30",9.68
