"","date","DCP"
"1","2007-01-03",34.099998
"2","2007-01-04",34.09
"3","2007-01-05",33.990002
"4","2007-01-08",34.5
"5","2007-01-09",34.630001
"6","2007-01-10",34.880001
"7","2007-01-11",34.869999
"8","2007-01-12",34.759998
"9","2007-01-16",34.43
"10","2007-01-17",34.599998
"11","2007-01-18",34.310001
"12","2007-01-19",34.5
"13","2007-01-22",35.200001
"14","2007-01-23",35.310001
"15","2007-01-24",35.450001
"16","2007-01-25",35.639999
"17","2007-01-26",35.139999
"18","2007-01-29",34.919998
"19","2007-01-30",34.970001
"20","2007-01-31",35.09
"21","2007-02-01",35.59
"22","2007-02-02",37.509998
"23","2007-02-05",35.779999
"24","2007-02-06",36.849998
"25","2007-02-07",37.110001
"26","2007-02-08",37.139999
"27","2007-02-09",37.41
"28","2007-02-12",37
"29","2007-02-13",37.27
"30","2007-02-14",37.400002
"31","2007-02-15",37.299999
"32","2007-02-16",37.16
"33","2007-02-20",37.23
"34","2007-02-21",37.240002
"35","2007-02-22",36.68
"36","2007-02-23",37
"37","2007-02-26",37.290001
"38","2007-02-27",37.099998
"39","2007-02-28",36.98
"40","2007-03-01",37
"41","2007-03-02",36.540001
"42","2007-03-05",36.470001
"43","2007-03-06",36.32
"44","2007-03-07",36.810001
"45","2007-03-08",38.299999
"46","2007-03-09",38.549999
"47","2007-03-12",40.060001
"48","2007-03-13",39
"49","2007-03-14",38.93
"50","2007-03-15",39.130001
"51","2007-03-16",38.18
"52","2007-03-19",38.470001
"53","2007-03-20",39.240002
"54","2007-03-21",38.259998
"55","2007-03-22",38.25
"56","2007-03-23",38.029999
"57","2007-03-26",37.950001
"58","2007-03-27",37.900002
"59","2007-03-28",38.5
"60","2007-03-29",39.09
"61","2007-03-30",39.099998
"62","2007-04-02",38.790001
"63","2007-04-03",39.82
"64","2007-04-04",39.25
"65","2007-04-05",39.669998
"66","2007-04-09",39.73
"67","2007-04-10",39.380001
"68","2007-04-11",38.599998
"69","2007-04-12",38.150002
"70","2007-04-13",39.450001
"71","2007-04-16",39.41
"72","2007-04-17",40
"73","2007-04-18",39.5
"74","2007-04-19",39.200001
"75","2007-04-20",38.959999
"76","2007-04-23",39
"77","2007-04-24",38.959999
"78","2007-04-25",39.990002
"79","2007-04-26",41
"80","2007-04-27",40.259998
"81","2007-04-30",41
"82","2007-05-01",40.98
"83","2007-05-02",42
"84","2007-05-03",41.470001
"85","2007-05-04",41.790001
"86","2007-05-07",41.740002
"87","2007-05-08",42.689999
"88","2007-05-09",43.68
"89","2007-05-10",43.27
"90","2007-05-11",44.16
"91","2007-05-14",43.950001
"92","2007-05-15",44.009998
"93","2007-05-16",44.18
"94","2007-05-17",43.75
"95","2007-05-18",43.77
"96","2007-05-21",44
"97","2007-05-22",44.759998
"98","2007-05-23",44.599998
"99","2007-05-24",43.75
"100","2007-05-25",43.990002
"101","2007-05-29",43.950001
"102","2007-05-30",43.52
"103","2007-05-31",43.619999
"104","2007-06-01",43.889999
"105","2007-06-04",45.82
"106","2007-06-05",46.509998
"107","2007-06-06",47
"108","2007-06-07",45.59
