"","date","HCHC"
"1","2009-07-13",4
"2","2009-07-14",3.7
"3","2009-07-15",3.65
"4","2009-07-16",3.65
"5","2009-07-17",3.5
"6","2009-07-20",3.51
"7","2009-07-21",3.5
"8","2009-07-22",3.45
"9","2009-07-23",3.43
"10","2009-07-24",3.4
"11","2009-07-27",3.4
"12","2009-07-28",3.4
"13","2009-07-29",3.3
"14","2009-07-30",3.44
"15","2009-07-31",3.45
"16","2009-08-03",3.4
"17","2009-08-04",3.4
"18","2009-08-05",3.5
"19","2009-08-06",3.65
"20","2009-08-07",3.8
"21","2009-08-10",4.65
"22","2009-08-11",4.68
"23","2009-08-12",4.75
"24","2009-08-13",4.7
"25","2009-08-14",5.7
"26","2009-08-17",5.75
"27","2009-08-18",5.65
"28","2009-08-19",5.75
"29","2009-08-20",5.7
"30","2009-08-21",6
"31","2009-08-24",6.24
"32","2009-08-25",7.15
"33","2009-08-26",7.45
"34","2009-08-27",7.7
"35","2009-08-28",7.75
"36","2009-08-31",7.65
"37","2009-09-01",7.22
"38","2009-09-02",7.25
"39","2009-09-03",7
"40","2009-09-04",7
"41","2009-09-08",7.15
"42","2009-09-09",7.15
"43","2009-09-10",6.95
"44","2009-09-11",7.3
"45","2009-09-14",7.45
"46","2009-09-15",7.25
"47","2009-09-16",7.35
"48","2009-09-17",7.35
"49","2009-09-18",7.35
"50","2009-09-21",7.33
"51","2009-09-22",7.35
"52","2009-09-23",7.4
"53","2009-09-24",7.45
"54","2009-09-25",7.25
"55","2009-09-28",6.8
"56","2009-09-29",7
"57","2009-09-30",6.95
"58","2009-10-01",7
"59","2009-10-02",6.85
"60","2009-10-05",6.7
"61","2009-10-06",6.7
"62","2009-10-07",6.8
"63","2009-10-08",7.14
"64","2009-10-09",7.05
"65","2009-10-12",7.1
"66","2009-10-13",6.98
"67","2009-10-14",6.9
"68","2009-10-15",6.9
"69","2009-10-16",6.65
"70","2009-10-19",7
"71","2009-10-20",7.05
"72","2009-10-21",7.05
"73","2009-10-22",6.87
"74","2009-10-23",7.05
"75","2009-10-26",7.03
"76","2009-10-27",7.1
"77","2009-10-28",7.15
"78","2009-10-29",7
"79","2009-10-30",6.9
"80","2009-11-02",6.89
"81","2009-11-03",6.95
"82","2009-11-04",6.65
"83","2009-11-05",6.8
"84","2009-11-06",6.66
"85","2009-11-09",6.75
"86","2009-11-10",6.75
"87","2009-11-11",6.85
"88","2009-11-12",6.85
"89","2009-11-13",6.85
"90","2009-11-16",6.89
"91","2009-11-17",6.56
"92","2009-11-18",6.57
"93","2009-11-19",6.73
"94","2009-11-20",6.55
"95","2009-11-23",6.75
"96","2009-11-24",6.6
"97","2009-11-25",6.73
"98","2009-11-27",6.6
"99","2009-11-30",6.75
"100","2009-12-01",6.75
"101","2009-12-02",6.85
"102","2009-12-03",6.82
"103","2009-12-04",6.75
"104","2009-12-07",6.75
