"","date","CRNX"
"1","2018-07-18",24.51
"2","2018-07-19",22.66
"3","2018-07-20",23
"4","2018-07-23",25.129999
"5","2018-07-24",25.110001
"6","2018-07-25",25.35
"7","2018-07-26",24.9
"8","2018-07-27",24.389999
"9","2018-07-30",25.58
"10","2018-07-31",24.610001
"11","2018-08-01",25.4
"12","2018-08-02",26.299999
"13","2018-08-03",25.84
"14","2018-08-06",26.620001
"15","2018-08-07",26.200001
"16","2018-08-08",28
"17","2018-08-09",29.84
"18","2018-08-10",30.68
"19","2018-08-13",31.379999
"20","2018-08-14",30.65
"21","2018-08-15",29.969999
"22","2018-08-16",30.809999
"23","2018-08-17",32.700001
"24","2018-08-20",31.99
"25","2018-08-21",31.65
"26","2018-08-22",31.93
"27","2018-08-23",33.07
"28","2018-08-24",32.740002
"29","2018-08-27",32.02
"30","2018-08-28",32.759998
"31","2018-08-29",30.870001
"32","2018-08-30",30.32
"33","2018-08-31",29.99
"34","2018-09-04",30.1
"35","2018-09-05",30.209999
"36","2018-09-06",33.48
"37","2018-09-07",36.630001
"38","2018-09-10",36.59
"39","2018-09-11",35.869999
"40","2018-09-12",36.799999
"41","2018-09-13",36.299999
"42","2018-09-14",33.700001
"43","2018-09-17",31.709999
"44","2018-09-18",31.65
"45","2018-09-19",31.75
"46","2018-09-20",30.559999
"47","2018-09-21",31.18
"48","2018-09-24",30.110001
"49","2018-09-25",28.01
"50","2018-09-26",26.74
"51","2018-09-27",26.889999
"52","2018-09-28",28.65
"53","2018-10-01",27.49
"54","2018-10-02",27.540001
"55","2018-10-03",26.690001
"56","2018-10-04",24.17
"57","2018-10-05",23.24
"58","2018-10-08",23.450001
"59","2018-10-09",23.32
"60","2018-10-10",22.5
"61","2018-10-11",23.610001
"62","2018-10-12",23.91
"63","2018-10-15",22.85
"64","2018-10-16",23.43
"65","2018-10-17",23.469999
"66","2018-10-18",23.4
"67","2018-10-19",22.870001
"68","2018-10-22",22.4
"69","2018-10-23",22.41
"70","2018-10-24",22.469999
"71","2018-10-25",25
"72","2018-10-26",25.33
"73","2018-10-29",23.940001
"74","2018-10-30",24
"75","2018-10-31",24.91
"76","2018-11-01",25.99
"77","2018-11-02",26.33
"78","2018-11-05",26.67
"79","2018-11-06",27
"80","2018-11-07",27.219999
"81","2018-11-08",28.16
"82","2018-11-09",26.84
"83","2018-11-12",26.440001
"84","2018-11-13",29.309999
"85","2018-11-14",28.76
"86","2018-11-15",27.18
"87","2018-11-16",28.700001
"88","2018-11-19",29.969999
"89","2018-11-20",30.35
"90","2018-11-21",33.349998
"91","2018-11-23",31.969999
"92","2018-11-26",33.860001
"93","2018-11-27",31.959999
"94","2018-11-28",35.07
"95","2018-11-29",33.599998
"96","2018-11-30",34.939999
"97","2018-12-03",35.389999
"98","2018-12-04",34.23
"99","2018-12-06",34.790001
"100","2018-12-07",33.290001
"101","2018-12-10",33.560001
"102","2018-12-11",33.880001
"103","2018-12-12",33.490002
"104","2018-12-13",33.810001
"105","2018-12-14",33.580002
"106","2018-12-17",32.84
"107","2018-12-18",32.299999
"108","2018-12-19",29.879999
"109","2018-12-20",25.82
"110","2018-12-21",24.91
"111","2018-12-24",25.83
"112","2018-12-26",29.059999
"113","2018-12-27",30.030001
"114","2018-12-28",30.51
"115","2018-12-31",29.99
"116","2019-01-02",29.309999
"117","2019-01-03",28.969999
"118","2019-01-04",29.23
"119","2019-01-07",27.120001
"120","2019-01-08",26.33
"121","2019-01-09",26.25
"122","2019-01-10",24.379999
"123","2019-01-11",23.370001
"124","2019-01-14",24.469999
"125","2019-01-15",23.690001
"126","2019-01-16",23.549999
"127","2019-01-17",23.83
"128","2019-01-18",23
"129","2019-01-22",21.07
"130","2019-01-23",23.25
"131","2019-01-24",24.940001
"132","2019-01-25",24.280001
"133","2019-01-28",24.059999
"134","2019-01-29",25.209999
