"","date","AMOT"
"1","2007-01-03",6.68
"2","2007-01-04",6.48
"3","2007-01-05",6.47
"4","2007-01-08",6.58
"5","2007-01-09",6.85
"6","2007-01-10",6.9
"7","2007-01-11",6.96
"8","2007-01-12",6.8
"9","2007-01-16",6.71
"10","2007-01-17",6.95
"11","2007-01-18",6.77
"12","2007-01-19",6.81
"13","2007-01-22",6.9
"14","2007-01-23",6.56
"15","2007-01-24",6.39
"16","2007-01-25",6.58
"17","2007-01-26",6.95
"18","2007-01-29",7.15
"19","2007-01-30",7.1
"20","2007-01-31",7.15
"21","2007-02-01",6.99
"22","2007-02-02",6.7
"23","2007-02-05",6.84
"24","2007-02-06",6.78
"25","2007-02-07",6.99
"26","2007-02-08",6.6
"27","2007-02-09",6.21
"28","2007-02-12",6.06
"29","2007-02-13",6.21
"30","2007-02-14",6.72
"31","2007-02-15",6.5
"32","2007-02-16",6.69
"33","2007-02-20",7.02
"34","2007-02-21",7.1
"35","2007-02-22",6.9
"36","2007-02-23",7.15
"37","2007-02-26",6.7
"38","2007-02-27",5.92
"39","2007-02-28",6
"40","2007-03-01",5.91
"41","2007-03-02",5.83
"42","2007-03-05",5.62
"43","2007-03-06",5.88
"44","2007-03-07",5.99
"45","2007-03-08",5.99
"46","2007-03-09",5.9
"47","2007-03-12",5.83
"48","2007-03-13",5.7
"49","2007-03-14",5.7
"50","2007-03-15",5.85
"51","2007-03-16",5.94
"52","2007-03-19",6.1
"53","2007-03-20",6.13
"54","2007-03-21",6.22
"55","2007-03-22",6.14
"56","2007-03-23",6.46
"57","2007-03-26",6.31
"58","2007-03-27",6.17
"59","2007-03-28",6.12
"60","2007-03-29",6.27
"61","2007-03-30",6.38
"62","2007-04-02",6.16
"63","2007-04-03",6.29
"64","2007-04-04",6.28
"65","2007-04-05",6.44
"66","2007-04-09",6.39
"67","2007-04-10",6.4
"68","2007-04-11",6.34
"69","2007-04-12",6.36
"70","2007-04-13",6.25
"71","2007-04-16",6.24
"72","2007-04-17",6.31
"73","2007-04-18",6.28
"74","2007-04-19",6.11
"75","2007-04-20",6.25
"76","2007-04-23",5.87
"77","2007-04-24",6.24
"78","2007-04-25",6.3
"79","2007-04-26",6.28
"80","2007-04-27",6.13
"81","2007-04-30",6.05
"82","2007-05-01",5.94
"83","2007-05-02",6.14
"84","2007-05-03",6.3
"85","2007-05-04",6.32
"86","2007-05-07",6.3
"87","2007-05-08",6.25
"88","2007-05-09",6.4
"89","2007-05-10",6.38
"90","2007-05-11",6.29
"91","2007-05-14",6.2
"92","2007-05-15",6.15
"93","2007-05-16",6.1
"94","2007-05-17",6.29
"95","2007-05-18",6.14
"96","2007-05-21",6.22
"97","2007-05-22",6.03
"98","2007-05-23",6.03
"99","2007-05-24",6.05
"100","2007-05-25",6.03
"101","2007-05-29",6.1
"102","2007-05-30",6
"103","2007-05-31",6.02
"104","2007-06-01",6.09
"105","2007-06-04",6.12
"106","2007-06-05",6.15
"107","2007-06-06",6.24
"108","2007-06-07",6.25
"109","2007-06-08",6.33
"110","2007-06-11",6.43
"111","2007-06-12",6.43
"112","2007-06-13",6.42
"113","2007-06-14",6.6
"114","2007-06-15",6.6
"115","2007-06-18",6.51
"116","2007-06-19",6.5
"117","2007-06-20",6.58
"118","2007-06-21",6.88
"119","2007-06-22",6.94
"120","2007-06-25",7.14
"121","2007-06-26",7.33
"122","2007-06-27",7.36
"123","2007-06-28",7.21
"124","2007-06-29",7.2
"125","2007-07-02",7.17
"126","2007-07-03",7.23
"127","2007-07-05",7.36
"128","2007-07-06",7.68
"129","2007-07-09",7.72
"130","2007-07-10",7.59
"131","2007-07-11",7.65
"132","2007-07-12",7.68
"133","2007-07-13",7.75
"134","2007-07-16",7.65
"135","2007-07-17",7.74
"136","2007-07-18",7.68
"137","2007-07-19",7.72
"138","2007-07-20",7.62
"139","2007-07-23",7.6
"140","2007-07-24",7.68
"141","2007-07-25",7.74
"142","2007-07-26",7.69
"143","2007-07-27",6.94
"144","2007-07-30",6.62
"145","2007-07-31",6.79
"146","2007-08-01",6.44
"147","2007-08-02",6.45
"148","2007-08-03",6.65
"149","2007-08-06",6.69
"150","2007-08-07",5.28
"151","2007-08-08",4.95
"152","2007-08-09",4.73
"153","2007-08-10",4.61
"154","2007-08-13",4.9
"155","2007-08-14",4.9
"156","2007-08-15",4.8
"157","2007-08-16",4.69
"158","2007-08-17",4.66
"159","2007-08-20",4.53
"160","2007-08-21",4.46
"161","2007-08-22",4.61
"162","2007-08-23",4.64
"163","2007-08-24",4.45
"164","2007-08-27",4.4
"165","2007-08-28",4.92
"166","2007-08-29",4.9
"167","2007-08-30",4.75
"168","2007-08-31",4.71
"169","2007-09-04",4.9
"170","2007-09-05",4.85
"171","2007-09-06",4.9
"172","2007-09-07",4.82
"173","2007-09-10",4.74
"174","2007-09-11",4.81
"175","2007-09-12",4.95
"176","2007-09-13",4.95
"177","2007-09-14",5.09
"178","2007-09-17",4.89
"179","2007-09-18",5.11
"180","2007-09-19",5.12
"181","2007-09-20",5.12
"182","2007-09-21",4.96
"183","2007-09-24",5
"184","2007-09-25",5.05
"185","2007-09-26",4.97
"186","2007-09-27",4.95
"187","2007-09-28",5.05
"188","2007-10-01",4.59
"189","2007-10-02",4.8
"190","2007-10-03",4.99
"191","2007-10-04",4.85
"192","2007-10-05",4.8
"193","2007-10-08",4.89
"194","2007-10-09",4.92
"195","2007-10-10",4.73
"196","2007-10-11",4.95
"197","2007-10-12",4.8
"198","2007-10-15",4.82
"199","2007-10-16",4.65
"200","2007-10-17",4.61
"201","2007-10-18",4.5
"202","2007-10-19",4.5
"203","2007-10-22",4.64
"204","2007-10-23",4.55
"205","2007-10-24",4.6
"206","2007-10-25",4.7
"207","2007-10-26",4.74
"208","2007-10-29",4.7
"209","2007-10-30",4.74
"210","2007-10-31",4.6
"211","2007-11-01",4.9
