"","date","SLQT"
"1","2020-05-21",27
"2","2020-05-22",26.5
"3","2020-05-26",26.92
"4","2020-05-27",27.48
"5","2020-05-28",28.450001
"6","2020-05-29",27.52
"7","2020-06-01",28.299999
"8","2020-06-02",28.690001
"9","2020-06-03",28
"10","2020-06-04",26.5
"11","2020-06-05",27.82
"12","2020-06-08",26.950001
"13","2020-06-09",27
"14","2020-06-10",26.85
"15","2020-06-11",26.459999
"16","2020-06-12",27.469999
"17","2020-06-15",28.440001
"18","2020-06-16",27.26
"19","2020-06-17",26.82
"20","2020-06-18",26.35
"21","2020-06-19",25.68
"22","2020-06-22",25.57
"23","2020-06-23",25.620001
"24","2020-06-24",25.27
"25","2020-06-25",26.190001
"26","2020-06-26",25.59
"27","2020-06-29",25.370001
"28","2020-06-30",25.33
"29","2020-07-01",24.889999
"30","2020-07-02",25.370001
"31","2020-07-06",25.639999
"32","2020-07-07",25.08
"33","2020-07-08",25.780001
"34","2020-07-09",24.450001
"35","2020-07-10",24.040001
"36","2020-07-13",24.709999
"37","2020-07-14",24.59
"38","2020-07-15",23.309999
"39","2020-07-16",21.99
"40","2020-07-17",21.9
"41","2020-07-20",22.77
"42","2020-07-21",21.66
"43","2020-07-22",21.51
"44","2020-07-23",20.6
"45","2020-07-24",20
"46","2020-07-27",19.76
"47","2020-07-28",18.120001
"48","2020-07-29",17.700001
"49","2020-07-30",17.93
"50","2020-07-31",17.889999
"51","2020-08-03",19.030001
"52","2020-08-04",19.200001
"53","2020-08-05",18.969999
"54","2020-08-06",19.02
"55","2020-08-07",20.43
"56","2020-08-10",21.17
"57","2020-08-11",19.360001
"58","2020-08-12",19.190001
"59","2020-08-13",20
"60","2020-08-14",19.780001
"61","2020-08-17",20.440001
"62","2020-08-18",19.93
"63","2020-08-19",20.450001
"64","2020-08-20",20.1
"65","2020-08-21",19.780001
"66","2020-08-24",19.65
"67","2020-08-25",18.049999
"68","2020-08-26",17.27
"69","2020-08-27",17.459999
"70","2020-08-28",17.91
"71","2020-08-31",18.25
"72","2020-09-01",19.49
"73","2020-09-02",20.559999
"74","2020-09-03",20.32
"75","2020-09-04",19.450001
"76","2020-09-08",19.57
"77","2020-09-09",20.049999
"78","2020-09-10",22.34
"79","2020-09-11",22.24
"80","2020-09-14",23.5
"81","2020-09-15",22.450001
"82","2020-09-16",22.59
"83","2020-09-17",22.27
"84","2020-09-18",21.35
"85","2020-09-21",20.85
"86","2020-09-22",21.190001
"87","2020-09-23",20.5
"88","2020-09-24",19.43
"89","2020-09-25",19.67
"90","2020-09-28",19.51
"91","2020-09-29",20.27
"92","2020-09-30",20.25
"93","2020-10-01",20.549999
"94","2020-10-02",21
"95","2020-10-05",20.42
"96","2020-10-06",19.049999
"97","2020-10-07",19.83
"98","2020-10-08",19.59
"99","2020-10-09",19.620001
"100","2020-10-12",19.58
"101","2020-10-13",19.42
"102","2020-10-14",19.379999
"103","2020-10-15",19.34
"104","2020-10-16",19.549999
"105","2020-10-19",18.889999
"106","2020-10-20",18.92
"107","2020-10-21",18.73
"108","2020-10-22",18.84
"109","2020-10-23",17.969999
"110","2020-10-26",17.93
"111","2020-10-27",17.98
"112","2020-10-28",17.75
"113","2020-10-29",17.66
"114","2020-10-30",17.219999
"115","2020-11-02",16.85
"116","2020-11-03",18.02
"117","2020-11-04",18.77
"118","2020-11-05",19.190001
"119","2020-11-06",20.190001
"120","2020-11-09",19.700001
"121","2020-11-10",20.75
"122","2020-11-11",20.66
"123","2020-11-12",19.02
"124","2020-11-13",19.700001
"125","2020-11-16",20.299999
"126","2020-11-17",21.41
"127","2020-11-18",20.370001
"128","2020-11-19",21
"129","2020-11-20",20.639999
"130","2020-11-23",21.26
"131","2020-11-24",20.940001
"132","2020-11-25",21.27
"133","2020-11-27",21.85
