"","date","SBBP"
"1","2015-10-15",10
"2","2015-10-16",10.05
"3","2015-10-19",9.16
"4","2015-10-20",8.11
"5","2015-10-21",8
"6","2015-10-22",7.59
"7","2015-10-23",7.01
"8","2015-10-26",7.6
"9","2015-10-27",8.09
"10","2015-10-28",8.33
"11","2015-10-29",8.3
"12","2015-10-30",8.57
"13","2015-11-02",8.27
"14","2015-11-03",8
"15","2015-11-04",8.24
"16","2015-11-05",7.98
"17","2015-11-06",8
"18","2015-11-09",7.49
"19","2015-11-10",7.15
"20","2015-11-11",7.18
"21","2015-11-12",6.9
"22","2015-11-13",6.96
"23","2015-11-16",7.25
"24","2015-11-17",6.94
"25","2015-11-18",6.99
"26","2015-11-19",7.15
"27","2015-11-20",7.55
"28","2015-11-23",7.17
"29","2015-11-24",7.44
"30","2015-11-25",7.44
"31","2015-11-27",7.32
"32","2015-11-30",7.19
"33","2015-12-01",7.03
"34","2015-12-02",6.15
"35","2015-12-03",6.34
"36","2015-12-04",5.88
"37","2015-12-07",5.69
"38","2015-12-08",5.65
"39","2015-12-09",6.03
"40","2015-12-10",5.98
"41","2015-12-11",5.98
"42","2015-12-14",5.88
"43","2015-12-15",6.08
"44","2015-12-16",6.01
"45","2015-12-17",6.08
"46","2015-12-18",6.11
"47","2015-12-21",6.325
"48","2015-12-22",7.26
"49","2015-12-23",7.03
"50","2015-12-24",7.08
"51","2015-12-28",7.04
"52","2015-12-29",7.09
"53","2015-12-30",7.08
"54","2015-12-31",7.6
"55","2016-01-04",7.09
"56","2016-01-05",6.86
"57","2016-01-06",6.371
"58","2016-01-07",6.02
"59","2016-01-08",6.17
"60","2016-01-11",5.55
"61","2016-01-12",4.89
"62","2016-01-13",4.2
"63","2016-01-14",4.24
"64","2016-01-15",5.49
"65","2016-01-19",4.86
"66","2016-01-20",5.2
"67","2016-01-21",4.75
"68","2016-01-22",4.55
"69","2016-01-25",4.35
"70","2016-01-26",4.41
"71","2016-01-27",4.29
"72","2016-01-28",4.31
"73","2016-01-29",4.6
"74","2016-02-01",4.35
"75","2016-02-02",4.24
"76","2016-02-03",3.81
"77","2016-02-04",4.15
"78","2016-02-05",4.47
"79","2016-02-08",3.72
"80","2016-02-09",3.71
"81","2016-02-10",3.8
"82","2016-02-11",3.85
"83","2016-02-12",3.84
"84","2016-02-16",3.71
"85","2016-02-17",3.91
"86","2016-02-18",3.97
"87","2016-02-19",3.9
"88","2016-02-22",4.16
"89","2016-02-23",3.9
"90","2016-02-24",3.81
"91","2016-02-25",3.95
"92","2016-02-26",3.94
"93","2016-02-29",4
"94","2016-03-01",3.95
"95","2016-03-02",3.91
"96","2016-03-03",3.82
"97","2016-03-04",3.8
"98","2016-03-07",4.49
"99","2016-03-08",5.07
"100","2016-03-09",5.13
"101","2016-03-10",4.84
"102","2016-03-11",4.81
"103","2016-03-14",4.89
"104","2016-03-15",4.71
"105","2016-03-16",4.63
"106","2016-03-17",4.45
"107","2016-03-18",4.2
"108","2016-03-21",4.3
"109","2016-03-22",4.15
"110","2016-03-23",4.33
"111","2016-03-24",4.2
"112","2016-03-28",3.91
"113","2016-03-29",4.58
"114","2016-03-30",4.8
"115","2016-03-31",4.56
"116","2016-04-01",4.75
"117","2016-04-04",5
"118","2016-04-05",4.94
"119","2016-04-06",4.83
"120","2016-04-07",4.75
"121","2016-04-08",4.63
"122","2016-04-11",4.31
"123","2016-04-12",4.6
"124","2016-04-13",4.56
"125","2016-04-14",4.72
"126","2016-04-15",4.63
"127","2016-04-18",5.1
"128","2016-04-19",5.27
"129","2016-04-20",4.9
"130","2016-04-21",4.94
"131","2016-04-22",5
"132","2016-04-25",5.46
"133","2016-04-26",5.23
"134","2016-04-27",5.28
"135","2016-04-28",5.2
"136","2016-04-29",5.2
"137","2016-05-02",5.324
"138","2016-05-03",6.01
"139","2016-05-04",5.9
"140","2016-05-05",5.9
"141","2016-05-06",5.9
"142","2016-05-09",5.54
"143","2016-05-10",5.52
"144","2016-05-11",5.57
"145","2016-05-12",5.504
"146","2016-05-13",5.56
"147","2016-05-16",5.3
"148","2016-05-17",5.14
"149","2016-05-18",4.77
"150","2016-05-19",4.17
"151","2016-05-20",4.18
"152","2016-05-23",4.3
"153","2016-05-24",4.3
"154","2016-05-25",4.42
"155","2016-05-26",4.28
"156","2016-05-27",4.65
"157","2016-05-31",4.85
"158","2016-06-01",4.78
"159","2016-06-02",4.71
"160","2016-06-03",4.7
"161","2016-06-06",4.66
"162","2016-06-07",4.55
"163","2016-06-08",4.65
"164","2016-06-09",4.34
"165","2016-06-10",4.15
"166","2016-06-13",4.16
"167","2016-06-14",4
"168","2016-06-15",4.05
"169","2016-06-16",4
"170","2016-06-17",4.03
"171","2016-06-20",4
"172","2016-06-21",3.99
"173","2016-06-22",3.94
"174","2016-06-23",3.87
"175","2016-06-24",3.71
"176","2016-06-27",3.5
"177","2016-06-28",3.9
"178","2016-06-29",3.99
"179","2016-06-30",3.98
"180","2016-07-01",3.73
"181","2016-07-05",3.77
"182","2016-07-06",3.93
"183","2016-07-07",3.82
"184","2016-07-08",3.76
"185","2016-07-11",3.84
"186","2016-07-12",3.84
"187","2016-07-13",4.05
"188","2016-07-14",4.21
"189","2016-07-15",4.29
"190","2016-07-18",4.4
"191","2016-07-19",4.32
"192","2016-07-20",4.45
"193","2016-07-21",4.401
"194","2016-07-22",4.42
"195","2016-07-25",4.43
"196","2016-07-26",4.33
"197","2016-07-27",4.3
"198","2016-07-28",4.3
"199","2016-07-29",4.3
"200","2016-08-01",4.2
"201","2016-08-02",4.27
"202","2016-08-03",4.22
"203","2016-08-04",4.2
"204","2016-08-05",4.24
"205","2016-08-08",4.25
"206","2016-08-09",4.39
"207","2016-08-10",4.63
"208","2016-08-11",4.6
"209","2016-08-12",4.3
"210","2016-08-15",4.34
"211","2016-08-16",4.39
"212","2016-08-17",4.31
"213","2016-08-18",4.3
"214","2016-08-19",4.61
"215","2016-08-22",4.71
"216","2016-08-23",4.72
"217","2016-08-24",4.8
"218","2016-08-25",4.82
"219","2016-08-26",4.81
"220","2016-08-29",4.51
"221","2016-08-30",4.85
"222","2016-08-31",4.76
"223","2016-09-01",4.78
"224","2016-09-02",4.9
"225","2016-09-06",4.8
"226","2016-09-07",4.76
"227","2016-09-08",4.61
"228","2016-09-09",4.95
"229","2016-09-12",4.7
"230","2016-09-13",4.81
"231","2016-09-14",4.65
"232","2016-09-15",4.6
"233","2016-09-16",4.59
"234","2016-09-19",4.51
"235","2016-09-20",4.8
"236","2016-09-21",4.8
"237","2016-09-22",4.82
"238","2016-09-23",5.51
"239","2016-09-26",5.28
"240","2016-09-27",5.1
"241","2016-09-28",5.03
"242","2016-09-29",5.21
"243","2016-09-30",5.22
"244","2016-10-03",5.4
"245","2016-10-04",5.01
"246","2016-10-05",5.11
"247","2016-10-06",5.15
"248","2016-10-07",5.25
"249","2016-10-10",5.15
"250","2016-10-11",5.11
"251","2016-10-12",5.2
"252","2016-10-13",5.12
"253","2016-10-14",5.01
"254","2016-10-17",4.7
"255","2016-10-18",4.6
"256","2016-10-19",4.65
"257","2016-10-20",4.65
