"","date","ADMS"
"1","2014-04-10",14.01
"2","2014-04-11",13
"3","2014-04-14",13.6
"4","2014-04-15",13.39
"5","2014-04-16",13.2
"6","2014-04-17",13.01
"7","2014-04-21",14.14
"8","2014-04-22",15.25
"9","2014-04-23",15.01
"10","2014-04-24",15.98
"11","2014-04-25",15.69
"12","2014-04-28",15.94
"13","2014-04-29",16
"14","2014-04-30",18.450001
"15","2014-05-01",20.07
"16","2014-05-02",20.01
"17","2014-05-05",20
"18","2014-05-06",20
"19","2014-05-07",19.959999
"20","2014-05-08",19.370001
"21","2014-05-09",19.23
"22","2014-05-12",19.15
"23","2014-05-13",19.5
"24","2014-05-14",19.370001
"25","2014-05-15",18.950001
"26","2014-05-16",18.76
"27","2014-05-19",18.26
"28","2014-05-20",18.879999
"29","2014-05-21",18.82
"30","2014-05-22",18.76
"31","2014-05-23",18.49
"32","2014-05-27",18.5
"33","2014-05-28",18.16
"34","2014-05-29",18.059999
"35","2014-05-30",17.85
"36","2014-06-02",17.870001
"37","2014-06-03",17.969999
"38","2014-06-04",17.57
"39","2014-06-05",18.290001
"40","2014-06-06",18.83
"41","2014-06-09",19.35
"42","2014-06-10",19.469999
"43","2014-06-11",19.32
"44","2014-06-12",19.65
"45","2014-06-13",18.719999
"46","2014-06-16",18.870001
"47","2014-06-17",19.5
"48","2014-06-18",19.59
"49","2014-06-19",19.48
"50","2014-06-20",19.209999
"51","2014-06-23",19.309999
"52","2014-06-24",19.42
"53","2014-06-25",19.41
"54","2014-06-26",18.65
"55","2014-06-27",17.709999
"56","2014-06-30",18.280001
"57","2014-07-01",18.459999
"58","2014-07-02",18.360001
"59","2014-07-03",17.969999
"60","2014-07-07",17.299999
"61","2014-07-08",17.02
"62","2014-07-09",16.690001
"63","2014-07-10",16.08
"64","2014-07-11",16.719999
"65","2014-07-14",16.200001
"66","2014-07-15",17.34
"67","2014-07-16",16.870001
"68","2014-07-17",16.780001
"69","2014-07-18",17.52
"70","2014-07-21",16.5
"71","2014-07-22",16.66
"72","2014-07-23",16.77
"73","2014-07-24",16.92
"74","2014-07-25",16.65
"75","2014-07-28",16.209999
"76","2014-07-29",16.09
"77","2014-07-30",16.07
"78","2014-07-31",15.91
"79","2014-08-01",16.09
"80","2014-08-04",16.02
"81","2014-08-05",16.09
"82","2014-08-06",16.190001
"83","2014-08-07",15.71
"84","2014-08-08",15.57
"85","2014-08-11",16.110001
"86","2014-08-12",16.49
"87","2014-08-13",16.790001
"88","2014-08-14",16.799999
"89","2014-08-15",17.450001
"90","2014-08-18",17.59
"91","2014-08-19",17.959999
"92","2014-08-20",17.93
"93","2014-08-21",18.370001
"94","2014-08-22",17.83
"95","2014-08-25",17.77
"96","2014-08-26",18.200001
"97","2014-08-27",18.190001
"98","2014-08-28",17.99
"99","2014-08-29",18.74
"100","2014-09-02",18.4
"101","2014-09-03",17.889999
"102","2014-09-04",17.35
"103","2014-09-05",17.91
"104","2014-09-08",17.99
"105","2014-09-09",17.83
"106","2014-09-10",17.860001
"107","2014-09-11",17.99
"108","2014-09-12",18.120001
"109","2014-09-15",17.549999
"110","2014-09-16",18.059999
"111","2014-09-17",17.879999
"112","2014-09-18",17.76
"113","2014-09-19",17.700001
"114","2014-09-22",16.85
"115","2014-09-23",16.290001
"116","2014-09-24",16.9
"117","2014-09-25",17.02
"118","2014-09-26",16.940001
"119","2014-09-29",17.24
"120","2014-09-30",18.620001
"121","2014-10-01",19.98
"122","2014-10-02",20
"123","2014-10-03",19.379999
"124","2014-10-06",18.049999
"125","2014-10-07",14.32
"126","2014-10-08",15.06
"127","2014-10-09",14.6
"128","2014-10-10",14.51
"129","2014-10-13",14.96
"130","2014-10-14",14.13
"131","2014-10-15",14.07
"132","2014-10-16",14.42
"133","2014-10-17",14.54
"134","2014-10-20",14.32
"135","2014-10-21",14.33
"136","2014-10-22",14.25
"137","2014-10-23",14.615
"138","2014-10-24",14.73
"139","2014-10-27",15.28
"140","2014-10-28",15.52
"141","2014-10-29",16.360001
"142","2014-10-30",15.87
"143","2014-10-31",15.23
"144","2014-11-03",16.309999
"145","2014-11-04",16.209999
"146","2014-11-05",14.67
"147","2014-11-06",15.08
"148","2014-11-07",15.07
"149","2014-11-10",14.59
"150","2014-11-11",15.1
"151","2014-11-12",15.02
