"","date","BNED"
"1","2015-07-23",14.75
"2","2015-07-24",14.41
"3","2015-07-27",14.41
"4","2015-07-28",14.41
"5","2015-07-29",13.61
"6","2015-07-30",13.51
"7","2015-07-31",14.35
"8","2015-08-03",13.19
"9","2015-08-04",12.94
"10","2015-08-05",13.13
"11","2015-08-06",12.59
"12","2015-08-07",11.8
"13","2015-08-10",12.71
"14","2015-08-11",13.18
"15","2015-08-12",12.88
"16","2015-08-13",12.95
"17","2015-08-14",13.73
"18","2015-08-17",14.09
"19","2015-08-18",13.36
"20","2015-08-19",13.11
"21","2015-08-20",12.67
"22","2015-08-21",12.87
"23","2015-08-24",12.56
"24","2015-08-25",12.17
"25","2015-08-26",12.17
"26","2015-08-27",12.41
"27","2015-08-28",12.86
"28","2015-08-31",12.9
"29","2015-09-01",13.03
"30","2015-09-02",13.31
"31","2015-09-03",13.3
"32","2015-09-04",13.45
"33","2015-09-08",13.26
"34","2015-09-09",12.95
"35","2015-09-10",12.94
"36","2015-09-11",12.74
"37","2015-09-14",13.6
"38","2015-09-15",13.29
"39","2015-09-16",13.02
"40","2015-09-17",12.92
"41","2015-09-18",12.87
"42","2015-09-21",12.71
"43","2015-09-22",12.65
"44","2015-09-23",12.55
"45","2015-09-24",13.28
"46","2015-09-25",13.37
"47","2015-09-28",12.71
"48","2015-09-29",12.76
"49","2015-09-30",12.71
"50","2015-10-01",12.43
"51","2015-10-02",12.68
"52","2015-10-05",12.61
"53","2015-10-06",12.52
"54","2015-10-07",12.69
"55","2015-10-08",12.61
"56","2015-10-09",12.42
"57","2015-10-12",12.61
"58","2015-10-13",12.45
"59","2015-10-14",12.4
"60","2015-10-15",12.65
"61","2015-10-16",12.86
"62","2015-10-19",12.7
"63","2015-10-20",12.43
"64","2015-10-21",12.44
"65","2015-10-22",12.58
"66","2015-10-23",12.56
"67","2015-10-26",13.24
"68","2015-10-27",12.99
"69","2015-10-28",13.51
"70","2015-10-29",13.97
"71","2015-10-30",14.75
"72","2015-11-02",14.2
"73","2015-11-03",14.33
"74","2015-11-04",14.59
"75","2015-11-05",14.56
"76","2015-11-06",14.93
"77","2015-11-09",14.65
"78","2015-11-10",14.51
"79","2015-11-11",14.11
"80","2015-11-12",13.73
"81","2015-11-13",13.55
"82","2015-11-16",14.2
"83","2015-11-17",14.3
"84","2015-11-18",14.55
"85","2015-11-19",14.41
"86","2015-11-20",14.85
"87","2015-11-23",14.93
"88","2015-11-24",14.81
"89","2015-11-25",15.14
"90","2015-11-27",15.27
"91","2015-11-30",14.45
"92","2015-12-01",14.47
"93","2015-12-02",14.72
"94","2015-12-03",14
"95","2015-12-04",12.97
"96","2015-12-07",12.8
"97","2015-12-08",9.31
"98","2015-12-09",8.99
"99","2015-12-10",8.76
"100","2015-12-11",8.7
"101","2015-12-14",9.03
"102","2015-12-15",9.02
"103","2015-12-16",9.35
"104","2015-12-17",9.63
"105","2015-12-18",10.02
"106","2015-12-21",9.76
"107","2015-12-22",9.66
"108","2015-12-23",9.93
"109","2015-12-24",10.16
"110","2015-12-28",10.06
"111","2015-12-29",10.13
"112","2015-12-30",10.1
"113","2015-12-31",9.95
"114","2016-01-04",9.57
"115","2016-01-05",9.62
"116","2016-01-06",9.49
"117","2016-01-07",9.14
"118","2016-01-08",9.03
"119","2016-01-11",8.93
"120","2016-01-12",8.87
"121","2016-01-13",8.73
"122","2016-01-14",9.11
"123","2016-01-15",9.14
"124","2016-01-19",9.35
"125","2016-01-20",9.63
"126","2016-01-21",10.11
"127","2016-01-22",10.36
"128","2016-01-25",9.99
"129","2016-01-26",10.1
"130","2016-01-27",10.14
"131","2016-01-28",10.62
"132","2016-01-29",11.02
"133","2016-02-01",11
"134","2016-02-02",10.74
"135","2016-02-03",10.26
"136","2016-02-04",10.73
"137","2016-02-05",10.45
"138","2016-02-08",10.18
"139","2016-02-09",9.98
"140","2016-02-10",10
"141","2016-02-11",9.91
"142","2016-02-12",9.95
"143","2016-02-16",10.2
"144","2016-02-17",10.31
"145","2016-02-18",10.38
"146","2016-02-19",10.2
"147","2016-02-22",10.59
"148","2016-02-23",10.35
"149","2016-02-24",10.42
"150","2016-02-25",10.21
"151","2016-02-26",10.4
"152","2016-02-29",10.68
"153","2016-03-01",10.94
"154","2016-03-02",10.73
"155","2016-03-03",10.8
"156","2016-03-04",10.79
"157","2016-03-07",11.39
"158","2016-03-08",9.69
"159","2016-03-09",9.71
"160","2016-03-10",9.77
"161","2016-03-11",9.93
"162","2016-03-14",9.91
"163","2016-03-15",9.77
"164","2016-03-16",10.04
"165","2016-03-17",9.97
"166","2016-03-18",9.74
"167","2016-03-21",9.8
"168","2016-03-22",9.93
"169","2016-03-23",9.55
"170","2016-03-24",9.95
"171","2016-03-28",9.5
"172","2016-03-29",9.63
"173","2016-03-30",9.76
"174","2016-03-31",9.8
"175","2016-04-01",9.58
"176","2016-04-04",9.4
"177","2016-04-05",9.25
"178","2016-04-06",9.26
"179","2016-04-07",8.92
"180","2016-04-08",8.83
"181","2016-04-11",8.81
"182","2016-04-12",8.99
"183","2016-04-13",9.47
"184","2016-04-14",9.62
"185","2016-04-15",9.62
"186","2016-04-18",9.77
"187","2016-04-19",9.77
"188","2016-04-20",9.78
"189","2016-04-21",9.97
"190","2016-04-22",10.1
"191","2016-04-25",9.85
"192","2016-04-26",10
"193","2016-04-27",9.99
"194","2016-04-28",9.62
"195","2016-04-29",9.36
"196","2016-05-02",9.53
"197","2016-05-03",9.33
"198","2016-05-04",9.2
"199","2016-05-05",9.19
"200","2016-05-06",9.43
"201","2016-05-09",9.41
"202","2016-05-10",9.44
"203","2016-05-11",8.78
"204","2016-05-12",8.89
"205","2016-05-13",8.86
"206","2016-05-16",8.79
"207","2016-05-17",8.69
"208","2016-05-18",8.57
"209","2016-05-19",8.69
"210","2016-05-20",8.98
"211","2016-05-23",8.95
