"","date","MOMO"
"1","2014-12-11",17.02
"2","2014-12-12",15.15
"3","2014-12-15",14.46
"4","2014-12-16",13.92
"5","2014-12-17",13.29
"6","2014-12-18",13.76
"7","2014-12-19",12.56
"8","2014-12-22",10.83
"9","2014-12-23",11.97
"10","2014-12-24",12.03
"11","2014-12-26",11.53
"12","2014-12-29",11.53
"13","2014-12-30",11.87
"14","2014-12-31",12
"15","2015-01-02",12.77
"16","2015-01-05",13.09
"17","2015-01-06",12.16
"18","2015-01-07",12.25
"19","2015-01-08",12.08
"20","2015-01-09",12.07
"21","2015-01-12",11.97
"22","2015-01-13",10.78
"23","2015-01-14",10.73
"24","2015-01-15",11.12
"25","2015-01-16",10.95
"26","2015-01-20",10.91
"27","2015-01-21",11.2
"28","2015-01-22",10.81
"29","2015-01-23",10.49
"30","2015-01-26",10.33
"31","2015-01-27",10.02
"32","2015-01-28",10.28
"33","2015-01-29",9.94
"34","2015-01-30",9.84
"35","2015-02-02",9.82
"36","2015-02-03",10.19
"37","2015-02-04",10.71
"38","2015-02-05",10.48
"39","2015-02-06",10.335
"40","2015-02-09",10.38
"41","2015-02-10",10.27
"42","2015-02-11",10.25
"43","2015-02-12",11.49
"44","2015-02-13",11.02
"45","2015-02-17",11.22
"46","2015-02-18",11.21
"47","2015-02-19",11.15
"48","2015-02-20",11.5
"49","2015-02-23",11.5
"50","2015-02-24",12.27
"51","2015-02-25",12.52
"52","2015-02-26",12.52
"53","2015-02-27",11.31
"54","2015-03-02",12
"55","2015-03-03",12.18
"56","2015-03-04",12.55
"57","2015-03-05",11.09
"58","2015-03-06",11.03
"59","2015-03-09",10.93
"60","2015-03-10",10.44
"61","2015-03-11",10.62
"62","2015-03-12",10.28
"63","2015-03-13",10.02
"64","2015-03-16",10.3
"65","2015-03-17",10
"66","2015-03-18",10.01
"67","2015-03-19",10.02
"68","2015-03-20",10.41
"69","2015-03-23",10.4
"70","2015-03-24",10.44
"71","2015-03-25",10.29
"72","2015-03-26",10.52
"73","2015-03-27",10.7
"74","2015-03-30",10.5
"75","2015-03-31",10.6
"76","2015-04-01",10.59
"77","2015-04-02",10.51
"78","2015-04-06",10.85
"79","2015-04-07",10.5
"80","2015-04-08",11.17
"81","2015-04-09",11.96
"82","2015-04-10",11.52
"83","2015-04-13",11.2
"84","2015-04-14",11.41
"85","2015-04-15",10.99
"86","2015-04-16",11.26
"87","2015-04-17",10.92
"88","2015-04-20",10.99
"89","2015-04-21",11
"90","2015-04-22",11.2
"91","2015-04-23",11.39
"92","2015-04-24",12.41
"93","2015-04-27",11.93
"94","2015-04-28",11.7
"95","2015-04-29",11.36
"96","2015-04-30",11.05
"97","2015-05-01",11.17
"98","2015-05-04",11.26
"99","2015-05-05",10.88
"100","2015-05-06",10.96
"101","2015-05-07",10.93
"102","2015-05-08",11.29
"103","2015-05-11",11.07
"104","2015-05-12",11.1
"105","2015-05-13",10.98
"106","2015-05-14",12.38
"107","2015-05-15",12.39
"108","2015-05-18",12.82
"109","2015-05-19",16.27
"110","2015-05-20",17.200001
"111","2015-05-21",16.85
"112","2015-05-22",17.9
"113","2015-05-26",18.940001
"114","2015-05-27",19.110001
"115","2015-05-28",18.34
"116","2015-05-29",18.059999
"117","2015-06-01",17.02
"118","2015-06-02",17.049999
"119","2015-06-03",17.51
"120","2015-06-04",16.98
"121","2015-06-05",17.129999
"122","2015-06-08",17.040001
"123","2015-06-09",16
"124","2015-06-10",15.8
"125","2015-06-11",15.46
"126","2015-06-12",15.65
"127","2015-06-15",15.63
"128","2015-06-16",15.6
"129","2015-06-17",16.41
"130","2015-06-18",16.99
"131","2015-06-19",16.83
"132","2015-06-22",15.69
"133","2015-06-23",17.24
"134","2015-06-24",17.219999
"135","2015-06-25",17.059999
"136","2015-06-26",16.530001
"137","2015-06-29",15.83
"138","2015-06-30",16.1
"139","2015-07-01",15.88
"140","2015-07-02",16.110001
"141","2015-07-06",14.75
"142","2015-07-07",13.96
"143","2015-07-08",13.68
"144","2015-07-09",15.05
"145","2015-07-10",15.28
"146","2015-07-13",15.73
"147","2015-07-14",16.1
"148","2015-07-15",15.57
"149","2015-07-16",15.77
"150","2015-07-17",16
"151","2015-07-20",15.93
"152","2015-07-21",15.93
"153","2015-07-22",16.200001
"154","2015-07-23",16
"155","2015-07-24",15.97
"156","2015-07-27",15.72
"157","2015-07-28",15.94
"158","2015-07-29",16.059999
"159","2015-07-30",16.18
"160","2015-07-31",16.190001
"161","2015-08-03",16.52
"162","2015-08-04",16.459999
"163","2015-08-05",16.4
"164","2015-08-06",16.040001
"165","2015-08-07",15.95
"166","2015-08-10",16.469999
"167","2015-08-11",15.89
"168","2015-08-12",15.68
"169","2015-08-13",15.72
"170","2015-08-14",16.129999
"171","2015-08-17",16.360001
"172","2015-08-18",16.120001
"173","2015-08-19",15.98
"174","2015-08-20",14.81
"175","2015-08-21",13.78
"176","2015-08-24",12.29
"177","2015-08-25",12.42
"178","2015-08-26",11.94
"179","2015-08-27",12.3
"180","2015-08-28",12.37
"181","2015-08-31",11.66
"182","2015-09-01",11.28
"183","2015-09-02",10.99
"184","2015-09-03",10.97
"185","2015-09-04",10.84
"186","2015-09-08",10.99
"187","2015-09-09",11.53
"188","2015-09-10",11.56
"189","2015-09-11",11.52
"190","2015-09-14",11.02
"191","2015-09-15",10.98
"192","2015-09-16",11
"193","2015-09-17",11.04
"194","2015-09-18",10.99
"195","2015-09-21",11.04
"196","2015-09-22",11.06
"197","2015-09-23",10.96
"198","2015-09-24",12.04
"199","2015-09-25",12.46
