"","date","BCOR"
"1","2007-01-03",20.51
"2","2007-01-04",20.65
"3","2007-01-05",20.309999
"4","2007-01-08",20.790001
"5","2007-01-09",21.530001
"6","2007-01-10",21.34
"7","2007-01-11",21.950001
"8","2007-01-12",21.889999
"9","2007-01-16",22.530001
"10","2007-01-17",22.24
"11","2007-01-18",22.02
"12","2007-01-19",21.969999
"13","2007-01-22",22.1
"14","2007-01-23",22.17
"15","2007-01-24",22.67
"16","2007-01-25",23.07
"17","2007-01-26",23.09
"18","2007-01-29",23.450001
"19","2007-01-30",23.42
"20","2007-01-31",23.24
"21","2007-02-01",23.059999
"22","2007-02-02",23.02
"23","2007-02-05",23.09
"24","2007-02-06",22.469999
"25","2007-02-07",23.16
"26","2007-02-08",22.969999
"27","2007-02-09",22.75
"28","2007-02-12",22.790001
"29","2007-02-13",23.1
"30","2007-02-14",23.120001
"31","2007-02-15",23.15
"32","2007-02-16",23.190001
"33","2007-02-20",23.530001
"34","2007-02-21",23.15
"35","2007-02-22",22.959999
"36","2007-02-23",23.23
"37","2007-02-26",23.34
"38","2007-02-27",23.049999
"39","2007-02-28",22.799999
"40","2007-03-01",23.23
"41","2007-03-02",23.35
"42","2007-03-05",23.59
"43","2007-03-06",24.52
"44","2007-03-07",24.58
"45","2007-03-08",24.98
"46","2007-03-09",25.25
"47","2007-03-12",25.469999
"48","2007-03-13",25.35
"49","2007-03-14",25.219999
"50","2007-03-15",25.09
"51","2007-03-16",25.139999
"52","2007-03-19",24.700001
"53","2007-03-20",24.969999
"54","2007-03-21",25.530001
"55","2007-03-22",25.68
"56","2007-03-23",25.74
"57","2007-03-26",25.879999
"58","2007-03-27",25.67
"59","2007-03-28",25.639999
"60","2007-03-29",25.780001
"61","2007-03-30",25.67
"62","2007-04-02",25.969999
"63","2007-04-03",25.93
"64","2007-04-04",25.85
"65","2007-04-05",26.209999
"66","2007-04-09",26.440001
"67","2007-04-10",26.75
"68","2007-04-11",26.639999
"69","2007-04-12",26.76
"70","2007-04-13",26.799999
"71","2007-04-16",27.049999
