"","date","APVO"
"1","2016-07-20",112
"2","2016-07-21",112
"3","2016-07-22",110.18
"4","2016-07-25",94.5
"5","2016-07-26",96.599998
"6","2016-07-27",77.139999
"7","2016-07-28",70.139999
"8","2016-07-29",51.939999
"9","2016-08-01",40.459999
"10","2016-08-02",41.439999
"11","2016-08-03",41.16
"12","2016-08-04",42.98
"13","2016-08-05",39.48
"14","2016-08-08",38.360001
"15","2016-08-09",36.959999
"16","2016-08-10",37.799999
"17","2016-08-11",38.779999
"18","2016-08-12",42.98
"19","2016-08-15",44.240002
"20","2016-08-16",42.279999
"21","2016-08-17",45.080002
"22","2016-08-18",44.66
"23","2016-08-19",46.619999
"24","2016-08-22",44.939999
"25","2016-08-23",45.080002
"26","2016-08-24",42.279999
"27","2016-08-25",41.720001
"28","2016-08-26",42.279999
"29","2016-08-29",40.18
"30","2016-08-30",40.040001
"31","2016-08-31",38.080002
"32","2016-09-01",37.099998
"33","2016-09-02",37.099998
"34","2016-09-06",33.599998
"35","2016-09-07",32.200001
"36","2016-09-08",30.799999
"37","2016-09-09",35.139999
"38","2016-09-12",35.419998
"39","2016-09-13",33.599998
"40","2016-09-14",34.299999
"41","2016-09-15",32.900002
"42","2016-09-16",31.5
"43","2016-09-19",31.639999
"44","2016-09-20",33.040001
"45","2016-09-21",35.560001
"46","2016-09-22",38.5
"47","2016-09-23",39.060001
"48","2016-09-26",38.080002
"49","2016-09-27",38.5
"50","2016-09-28",36.68
"51","2016-09-29",35.84
"52","2016-09-30",35.84
"53","2016-10-03",35
"54","2016-10-04",36.259998
"55","2016-10-05",39.060001
"56","2016-10-06",38.639999
"57","2016-10-07",39.619999
"58","2016-10-10",39.619999
"59","2016-10-11",37.099998
"60","2016-10-12",37.240002
"61","2016-10-13",35.84
"62","2016-10-14",33.599998
"63","2016-10-17",33.040001
"64","2016-10-18",33.18
"65","2016-10-19",32.48
"66","2016-10-20",32.34
"67","2016-10-21",32.060001
"68","2016-10-24",32.34
"69","2016-10-25",32.34
"70","2016-10-26",32.060001
"71","2016-10-27",30.52
"72","2016-10-28",30.799999
"73","2016-10-31",30.940001
"74","2016-11-01",29.4
"75","2016-11-02",26.879999
"76","2016-11-03",26.32
"77","2016-11-04",26.040001
"78","2016-11-07",26.74
"79","2016-11-08",27.440001
"80","2016-11-09",27.860001
"81","2016-11-10",29.26
"82","2016-11-11",31.360001
"83","2016-11-14",32.34
"84","2016-11-15",27.440001
"85","2016-11-16",27.440001
