"","date","ZVO"
"1","2019-04-15",6.35
"2","2019-04-16",6.15
"3","2019-04-17",5.93
"4","2019-04-18",6.01
"5","2019-04-22",5.92
"6","2019-04-23",5.95
"7","2019-04-24",5.83
"8","2019-04-25",5.74
"9","2019-04-26",6.13
"10","2019-04-29",6.03
"11","2019-04-30",6.02
"12","2019-05-01",6.24
"13","2019-05-02",5.99
"14","2019-05-03",5.97
"15","2019-05-06",6.27
"16","2019-05-07",6.09
"17","2019-05-08",5.87
"18","2019-05-09",5.89
"19","2019-05-10",5
"20","2019-05-13",4.87
"21","2019-05-14",5
"22","2019-05-15",4.76
"23","2019-05-16",4.76
"24","2019-05-17",4.69
"25","2019-05-20",4.7
"26","2019-05-21",4.74
"27","2019-05-22",4.61
"28","2019-05-23",4.51
"29","2019-05-24",4.43
"30","2019-05-28",4.41
"31","2019-05-29",4.23
"32","2019-05-30",4.16
"33","2019-05-31",4.1
"34","2019-06-03",3.92
"35","2019-06-04",4.17
"36","2019-06-05",4.07
"37","2019-06-06",4.07
"38","2019-06-07",3.79
"39","2019-06-10",3.59
"40","2019-06-11",3.55
"41","2019-06-12",3.51
"42","2019-06-13",3.55
"43","2019-06-14",3.64
"44","2019-06-17",3.53
"45","2019-06-18",3.52
"46","2019-06-19",3.55
"47","2019-06-20",3.55
"48","2019-06-21",3.36
"49","2019-06-24",3.31
"50","2019-06-25",3.28
"51","2019-06-26",3.37
"52","2019-06-27",3.44
"53","2019-06-28",3.58
"54","2019-07-01",3.64
"55","2019-07-02",3.64
"56","2019-07-03",3.77
"57","2019-07-05",3.72
"58","2019-07-08",3.71
"59","2019-07-09",3.59
"60","2019-07-10",3.65
"61","2019-07-11",3.61
"62","2019-07-12",3.64
"63","2019-07-15",4.02
"64","2019-07-16",3.77
"65","2019-07-17",4
"66","2019-07-18",4
"67","2019-07-19",4.02
"68","2019-07-22",3.96
"69","2019-07-23",4.01
"70","2019-07-24",3.96
"71","2019-07-25",3.85
"72","2019-07-26",3.84
"73","2019-07-29",3.81
"74","2019-07-30",3.87
"75","2019-07-31",3.81
"76","2019-08-01",3.83
"77","2019-08-02",3.84
"78","2019-08-05",3.9
"79","2019-08-06",3.89
"80","2019-08-07",4.03
"81","2019-08-08",2.71
"82","2019-08-09",2.95
"83","2019-08-12",2.99
"84","2019-08-13",3
"85","2019-08-14",2.83
"86","2019-08-15",2.83
"87","2019-08-16",2.84
"88","2019-08-19",2.84
"89","2019-08-20",2.69
"90","2019-08-21",2.64
"91","2019-08-22",2.52
"92","2019-08-23",2.4
"93","2019-08-26",2.42
"94","2019-08-27",2
"95","2019-08-28",2.25
"96","2019-08-29",2.24
"97","2019-08-30",2.28
"98","2019-09-03",2.2
"99","2019-09-04",2.23
"100","2019-09-05",2.52
"101","2019-09-06",2.53
"102","2019-09-09",2.54
"103","2019-09-10",2.51
"104","2019-09-11",2.48
"105","2019-09-12",2.24
"106","2019-09-13",2.35
"107","2019-09-16",2.25
"108","2019-09-17",2.21
"109","2019-09-18",2.24
"110","2019-09-19",2.15
"111","2019-09-20",2.18
"112","2019-09-23",2.15
"113","2019-09-24",2.08
"114","2019-09-25",1.99
"115","2019-09-26",1.96
"116","2019-09-27",1.95
"117","2019-09-30",1.97
"118","2019-10-01",2.05
"119","2019-10-02",2.04
"120","2019-10-03",2.05
"121","2019-10-04",2.04
"122","2019-10-07",2.01
"123","2019-10-08",2.02
"124","2019-10-09",1.85
"125","2019-10-10",1.85
"126","2019-10-11",1.74
