"","date","AMAG"
"191","2007-10-04",62.599998
"192","2007-10-05",65.910004
"193","2007-10-08",65.75
"194","2007-10-09",70.019997
"195","2007-10-10",67
"196","2007-10-11",66.669998
"197","2007-10-12",68.519997
"198","2007-10-15",67.410004
"199","2007-10-16",68.699997
"200","2007-10-17",68.800003
"201","2007-10-18",68.75
"202","2007-10-19",64.980003
"203","2007-10-22",65.410004
"204","2007-10-23",66.190002
"205","2007-10-24",63.419998
"206","2007-10-25",63.009998
"207","2007-10-26",61.889999
"208","2007-10-29",65.900002
"209","2007-10-30",65.379997
"210","2007-10-31",65.349998
"211","2007-11-01",63.549999
"212","2007-11-02",64.690002
"213","2007-11-05",63.450001
"214","2007-11-06",62.959999
"215","2007-11-07",61.18
"216","2007-11-08",60.73
"217","2007-11-09",60.799999
"218","2007-11-12",59.32
"219","2007-11-13",59.049999
"220","2007-11-14",59.810001
"221","2007-11-15",61.060001
"222","2007-11-16",59.580002
"223","2007-11-19",59.040001
"224","2007-11-20",56.669998
"225","2007-11-21",54.59
"226","2007-11-23",56.040001
"227","2007-11-26",55.119999
"228","2007-11-27",53.98
"229","2007-11-28",56.84
"230","2007-11-29",58.169998
"231","2007-11-30",57.630001
"232","2007-12-03",58.009998
"233","2007-12-04",57.599998
"234","2007-12-05",59.330002
"235","2007-12-06",61.360001
"236","2007-12-07",61.880001
"237","2007-12-10",62.240002
"238","2007-12-11",63.189999
"239","2007-12-12",62.150002
"240","2007-12-13",60.950001
"241","2007-12-14",62.34
"242","2007-12-17",61.689999
"243","2007-12-18",60.549999
"244","2007-12-19",60.650002
"245","2007-12-20",60.98
"246","2007-12-21",62.360001
"247","2007-12-24",63.07
"248","2007-12-26",63.75
"249","2007-12-27",60.389999
"250","2007-12-28",60.939999
"251","2007-12-31",60.130001
"252","2008-01-02",60.110001
"253","2008-01-03",59.25
"254","2008-01-04",58.919998
"255","2008-01-07",60.029999
"256","2008-01-08",59.560001
"257","2008-01-09",61.310001
"258","2008-01-10",59.779999
"259","2008-01-11",59.310001
"260","2008-01-14",60.990002
"261","2008-01-15",65.720001
"262","2008-01-16",64.150002
"263","2008-01-17",63.310001
"264","2008-01-18",61.130001
"265","2008-01-22",60.09
"266","2008-01-23",59.93
"267","2008-01-24",59.720001
"268","2008-01-25",59.330002
"269","2008-01-28",54.099998
"270","2008-01-29",55.66
"271","2008-01-30",50.02
"272","2008-01-31",51.560001
"273","2008-02-01",53.900002
"274","2008-02-04",55.099998
"275","2008-02-05",54.580002
"276","2008-02-06",53.709999
"277","2008-02-07",53.68
"278","2008-02-08",54.919998
"279","2008-02-11",54.060001
"280","2008-02-12",54.43
"281","2008-02-13",54.580002
"282","2008-02-14",52.52
"283","2008-02-15",51.400002
"284","2008-02-19",51.189999
"285","2008-02-20",51
"286","2008-02-21",48.610001
"287","2008-02-22",46.799999
