"","date","NGM"
"1","2019-04-04",14.7
"2","2019-04-05",15.1
"3","2019-04-08",15.79
"4","2019-04-09",16.6
"5","2019-04-10",16.219999
"6","2019-04-11",16
"7","2019-04-12",16.059999
"8","2019-04-15",16
"9","2019-04-16",15.66
"10","2019-04-17",16
"11","2019-04-18",15.45
"12","2019-04-22",15.65
"13","2019-04-23",16.209999
"14","2019-04-24",15.4
"15","2019-04-25",15.57
"16","2019-04-26",15.69
"17","2019-04-29",15.9
"18","2019-04-30",15.95
"19","2019-05-01",15.93
"20","2019-05-02",15.95
"21","2019-05-03",15.91
"22","2019-05-06",14.88
"23","2019-05-07",14.26
"24","2019-05-08",14.38
"25","2019-05-09",14.3
"26","2019-05-10",14
"27","2019-05-13",13.55
"28","2019-05-14",13.52
"29","2019-05-15",13.35
"30","2019-05-16",12.56
"31","2019-05-17",13.3
"32","2019-05-20",13.41
"33","2019-05-21",13.82
"34","2019-05-22",14.82
"35","2019-05-23",15
"36","2019-05-24",14.95
"37","2019-05-28",14.95
"38","2019-05-29",14.9
"39","2019-05-30",14.43
"40","2019-05-31",14.14
"41","2019-06-03",13.55
"42","2019-06-04",13.07
"43","2019-06-05",13.67
"44","2019-06-06",13.28
"45","2019-06-07",13.53
"46","2019-06-10",13.75
"47","2019-06-11",13.75
"48","2019-06-12",14.33
"49","2019-06-13",13.68
"50","2019-06-14",13.73
"51","2019-06-17",13.9
"52","2019-06-18",13.88
"53","2019-06-19",13.75
"54","2019-06-20",13.9
"55","2019-06-21",13.8
"56","2019-06-24",13.85
"57","2019-06-25",14.42
"58","2019-06-26",14.88
"59","2019-06-27",14.64
"60","2019-06-28",14.64
"61","2019-07-01",14.47
"62","2019-07-02",14.39
"63","2019-07-03",13.96
"64","2019-07-05",13.75
"65","2019-07-08",13.62
"66","2019-07-09",13.69
"67","2019-07-10",13.93
"68","2019-07-11",13.95
"69","2019-07-12",13.54
"70","2019-07-15",13.75
"71","2019-07-16",14.2
"72","2019-07-17",14.37
"73","2019-07-18",14.11
"74","2019-07-19",14.03
"75","2019-07-22",13.18
"76","2019-07-23",13.09
"77","2019-07-24",13.5
"78","2019-07-25",13.37
"79","2019-07-26",13.55
"80","2019-07-29",13.71
"81","2019-07-30",13.95
"82","2019-07-31",14.07
"83","2019-08-01",14.03
"84","2019-08-02",14.21
"85","2019-08-05",14.02
"86","2019-08-06",14.55
"87","2019-08-07",13.89
"88","2019-08-08",14.16
"89","2019-08-09",13.98
"90","2019-08-12",13.5
"91","2019-08-13",14.93
"92","2019-08-14",14.74
"93","2019-08-15",15.29
"94","2019-08-16",14.9
"95","2019-08-19",14.96
"96","2019-08-20",14.95
"97","2019-08-21",15.72
"98","2019-08-22",17.51
"99","2019-08-23",17.379999
"100","2019-08-26",17.620001
"101","2019-08-27",16.879999
"102","2019-08-28",16.58
"103","2019-08-29",17.459999
"104","2019-08-30",17.73
"105","2019-09-03",17.76
"106","2019-09-04",18.190001
"107","2019-09-05",16.780001
"108","2019-09-06",15.79
"109","2019-09-09",15.7
"110","2019-09-10",14.88
"111","2019-09-11",15.49
"112","2019-09-12",15.87
"113","2019-09-13",15.86
"114","2019-09-16",15.73
"115","2019-09-17",16.1
"116","2019-09-18",15.83
"117","2019-09-19",16.309999
"118","2019-09-20",16.51
"119","2019-09-23",16.530001
"120","2019-09-24",15.89
"121","2019-09-25",15.75
"122","2019-09-26",14.625
"123","2019-09-27",13.95
"124","2019-09-30",13.85
"125","2019-10-01",13.42
"126","2019-10-02",12.89
"127","2019-10-03",13.04
"128","2019-10-04",13.55
"129","2019-10-07",10.78
"130","2019-10-08",10
"131","2019-10-09",10.33
"132","2019-10-10",10.43
"133","2019-10-11",10.2
"134","2019-10-14",10.27
"135","2019-10-15",9.97
"136","2019-10-16",10.28
"137","2019-10-17",10.87
"138","2019-10-18",11.17
"139","2019-10-21",11.75
"140","2019-10-22",12.08
"141","2019-10-23",12.47
"142","2019-10-24",12.87
"143","2019-10-25",13.25
"144","2019-10-28",13.13
"145","2019-10-29",12.93
"146","2019-10-30",13.53
"147","2019-10-31",12.97
"148","2019-11-01",13.42
"149","2019-11-04",12.28
