"","date","WING"
"1","2015-06-12",30.59
"2","2015-06-15",30.549999
"3","2015-06-16",29.68
"4","2015-06-17",28.280001
"5","2015-06-18",28.65
"6","2015-06-19",29.34
"7","2015-06-22",28.559999
"8","2015-06-23",28.75
"9","2015-06-24",28.33
"10","2015-06-25",27.959999
"11","2015-06-26",28.25
"12","2015-06-29",27.5
"13","2015-06-30",28.4
"14","2015-07-01",27.99
"15","2015-07-02",28.52
"16","2015-07-06",27.700001
"17","2015-07-07",28.450001
"18","2015-07-08",29.780001
"19","2015-07-09",32.959999
"20","2015-07-10",34.380001
"21","2015-07-13",32.919998
"22","2015-07-14",30.959999
"23","2015-07-15",28.950001
"24","2015-07-16",31.690001
"25","2015-07-17",30.67
"26","2015-07-20",30.969999
"27","2015-07-21",32.029999
"28","2015-07-22",31.27
"29","2015-07-23",31.540001
"30","2015-07-24",31.26
"31","2015-07-27",30.709999
"32","2015-07-28",32.634998
"33","2015-07-29",34.43
"34","2015-07-30",34.169998
"35","2015-07-31",34.279999
"36","2015-08-03",35.240002
"37","2015-08-04",32.91
"38","2015-08-05",31.26
"39","2015-08-06",31.450001
"40","2015-08-07",31.49
"41","2015-08-10",31.57
"42","2015-08-11",31.530001
"43","2015-08-12",31.58
"44","2015-08-13",30.43
"45","2015-08-14",29.870001
"46","2015-08-17",30.120001
"47","2015-08-18",30.1
"48","2015-08-19",29.059999
"49","2015-08-20",27.99
"50","2015-08-21",27.719999
"51","2015-08-24",26.780001
"52","2015-08-25",26
"53","2015-08-26",26.879999
"54","2015-08-27",27.66
"55","2015-08-28",28.33
"56","2015-08-31",27.360001
"57","2015-09-01",26.780001
"58","2015-09-02",27.370001
"59","2015-09-03",26.82
"60","2015-09-04",27.35
"61","2015-09-08",27.82
"62","2015-09-09",27.34
"63","2015-09-10",27.540001
"64","2015-09-11",28.49
"65","2015-09-14",27.629999
"66","2015-09-15",27.49
"67","2015-09-16",27.25
"68","2015-09-17",26.639999
"69","2015-09-18",25.690001
"70","2015-09-21",25.65
"71","2015-09-22",25.610001
"72","2015-09-23",25.77
"73","2015-09-24",25.49
"74","2015-09-25",25.469999
"75","2015-09-28",24.389999
"76","2015-09-29",23.75
"77","2015-09-30",23.98
"78","2015-10-01",23.99
"79","2015-10-02",24.389999
"80","2015-10-05",26.16
"81","2015-10-06",26.389999
"82","2015-10-07",27.379999
"83","2015-10-08",28.5
"84","2015-10-09",28.700001
"85","2015-10-12",28.129999
"86","2015-10-13",27.49
"87","2015-10-14",26.790001
"88","2015-10-15",26.85
"89","2015-10-16",27.299999
"90","2015-10-19",27.200001
"91","2015-10-20",26.27
"92","2015-10-21",25.42
"93","2015-10-22",25.49
"94","2015-10-23",25.709999
"95","2015-10-26",25.65
"96","2015-10-27",24.700001
"97","2015-10-28",25.51
"98","2015-10-29",24.389999
"99","2015-10-30",23.129999
"100","2015-11-02",24.23
"101","2015-11-03",24.5
"102","2015-11-04",23.16
"103","2015-11-05",23.549999
"104","2015-11-06",23.040001
"105","2015-11-09",22.18
"106","2015-11-10",21.959999
"107","2015-11-11",21.950001
"108","2015-11-12",21.41
"109","2015-11-13",21.07
"110","2015-11-16",20.959999
"111","2015-11-17",20.459999
"112","2015-11-18",20.85
"113","2015-11-19",20.57
"114","2015-11-20",21.02
"115","2015-11-23",21.059999
"116","2015-11-24",21.040001
"117","2015-11-25",21.74
"118","2015-11-27",21.620001
"119","2015-11-30",21.549999
"120","2015-12-01",21.41
"121","2015-12-02",21.24
"122","2015-12-03",21.42
"123","2015-12-04",21.299999
"124","2015-12-07",21.139999
"125","2015-12-08",20.76
"126","2015-12-09",21.129999
"127","2015-12-10",22.530001
"128","2015-12-11",22.51
"129","2015-12-14",21.879999
"130","2015-12-15",22.6
"131","2015-12-16",22.860001
"132","2015-12-17",22.42
"133","2015-12-18",22.41
"134","2015-12-21",21.940001
"135","2015-12-22",22.549999
"136","2015-12-23",22.280001
"137","2015-12-24",22.559999
"138","2015-12-28",22.389999
"139","2015-12-29",22.950001
"140","2015-12-30",23.09
"141","2015-12-31",22.809999
"142","2016-01-04",22.690001
"143","2016-01-05",22.85
"144","2016-01-06",23.09
"145","2016-01-07",22
"146","2016-01-08",22.02
"147","2016-01-11",21.950001
"148","2016-01-12",22.83
"149","2016-01-13",22.83
"150","2016-01-14",23.889999
"151","2016-01-15",24.290001
"152","2016-01-19",24.549999
"153","2016-01-20",24.129999
"154","2016-01-21",25.540001
"155","2016-01-22",25.700001
"156","2016-01-25",24.690001
"157","2016-01-26",24.889999
"158","2016-01-27",23.67
"159","2016-01-28",24.25
"160","2016-01-29",24.26
"161","2016-02-01",23.950001
"162","2016-02-02",24.09
"163","2016-02-03",24.219999
"164","2016-02-04",24.26
"165","2016-02-05",23.360001
"166","2016-02-08",22.25
"167","2016-02-09",21.25
"168","2016-02-10",21.620001
"169","2016-02-11",22.040001
"170","2016-02-12",22.290001
"171","2016-02-16",22.24
"172","2016-02-17",22.690001
"173","2016-02-18",22.75
"174","2016-02-19",22.98
"175","2016-02-22",22.74
"176","2016-02-23",22.870001
"177","2016-02-24",22.690001
"178","2016-02-25",23.09
"179","2016-02-26",22.93
"180","2016-02-29",23.82
"181","2016-03-01",24.52
"182","2016-03-02",25.1
"183","2016-03-03",25.16
"184","2016-03-04",26.16
"185","2016-03-07",25.219999
"186","2016-03-08",24.25
"187","2016-03-09",24.530001
"188","2016-03-10",23.75
"189","2016-03-11",23.77
"190","2016-03-14",24.200001
"191","2016-03-15",23.059999
"192","2016-03-16",22.73
"193","2016-03-17",22.969999
"194","2016-03-18",23.049999
"195","2016-03-21",23.030001
"196","2016-03-22",22.5
"197","2016-03-23",22.4
"198","2016-03-24",22
