"","date","KROS"
"1","2020-04-08",20.08
"2","2020-04-09",21.57
"3","2020-04-13",23.23
"4","2020-04-14",27.49
"5","2020-04-15",27.18
"6","2020-04-16",27.118999
"7","2020-04-17",26.700001
"8","2020-04-20",28
"9","2020-04-21",27.059999
"10","2020-04-22",28.58
"11","2020-04-23",29.469999
"12","2020-04-24",30.59
"13","2020-04-27",30.4
"14","2020-04-28",30.9
"15","2020-04-29",29.969999
"16","2020-04-30",29.549999
"17","2020-05-01",28.799999
"18","2020-05-04",29.02
"19","2020-05-05",28.799999
"20","2020-05-06",27.860001
"21","2020-05-07",26.85
"22","2020-05-08",27.385
"23","2020-05-11",27.280001
"24","2020-05-12",29.65
"25","2020-05-13",28.75
"26","2020-05-14",28.18
"27","2020-05-15",28.6
"28","2020-05-18",28.355
"29","2020-05-19",27.41
"30","2020-05-20",27.65
"31","2020-05-21",27.32
"32","2020-05-22",27.309999
"33","2020-05-26",26.76
"34","2020-05-27",28.42
"35","2020-05-28",28
"36","2020-05-29",28.74
"37","2020-06-01",29.5
"38","2020-06-02",31.98
"39","2020-06-03",34.439999
"40","2020-06-04",32.220001
"41","2020-06-05",31.83
"42","2020-06-08",35.099998
"43","2020-06-09",35.810001
"44","2020-06-10",35.52
"45","2020-06-11",33.720001
"46","2020-06-12",34.299999
"47","2020-06-15",35.560001
"48","2020-06-16",35.939999
"49","2020-06-17",35.290001
"50","2020-06-18",36.77
"51","2020-06-19",38.52
"52","2020-06-22",37.650002
"53","2020-06-23",40.209999
"54","2020-06-24",39
"55","2020-06-25",40.389999
"56","2020-06-26",38.630001
"57","2020-06-29",38
"58","2020-06-30",37.509998
"59","2020-07-01",36.459999
"60","2020-07-02",35.799999
"61","2020-07-06",34.619999
"62","2020-07-07",33.709999
"63","2020-07-08",34.400002
"64","2020-07-09",33.43
"65","2020-07-10",32.75
"66","2020-07-13",30.799999
"67","2020-07-14",31.200001
"68","2020-07-15",29.959999
"69","2020-07-16",31.219999
"70","2020-07-17",30.07
"71","2020-07-20",29.52
"72","2020-07-21",29.41
"73","2020-07-22",29.23
"74","2020-07-23",27.870001
"75","2020-07-24",27.040001
"76","2020-07-27",29.74
"77","2020-07-28",28.9
"78","2020-07-29",30.440001
"79","2020-07-30",30.639999
"80","2020-07-31",32.099998
"81","2020-08-03",32.43
"82","2020-08-04",32.5
"83","2020-08-05",35.970001
"84","2020-08-06",35.810001
"85","2020-08-07",36.299999
"86","2020-08-10",36.16
"87","2020-08-11",35.93
"88","2020-08-12",36.009998
"89","2020-08-13",39.049999
"90","2020-08-14",38.580002
"91","2020-08-17",40.349998
"92","2020-08-18",40.630001
"93","2020-08-19",41.650002
"94","2020-08-20",46.18
"95","2020-08-21",45.580002
"96","2020-08-24",48.25
"97","2020-08-25",62.209999
"98","2020-08-26",53.560001
"99","2020-08-27",52.790001
"100","2020-08-28",53.060001
"101","2020-08-31",53.540001
"102","2020-09-01",53.43
"103","2020-09-02",55.950001
"104","2020-09-03",50.77
"105","2020-09-04",49.060001
"106","2020-09-08",48.5
"107","2020-09-09",49.509998
"108","2020-09-10",47.25
"109","2020-09-11",44.509998
"110","2020-09-14",45.080002
"111","2020-09-15",45.91
"112","2020-09-16",45.790001
"113","2020-09-17",44.990002
"114","2020-09-18",45.189999
"115","2020-09-21",43.02
"116","2020-09-22",42.549999
"117","2020-09-23",41.25
"118","2020-09-24",41.150002
"119","2020-09-25",40.610001
"120","2020-09-28",39.810001
"121","2020-09-29",39.380001
"122","2020-09-30",38.57
"123","2020-10-01",37.610001
"124","2020-10-02",36.759998
"125","2020-10-05",36.139999
"126","2020-10-06",36
"127","2020-10-07",40
"128","2020-10-08",46.32
"129","2020-10-09",45.619999
"130","2020-10-12",48.889999
"131","2020-10-13",46.970001
"132","2020-10-14",46.639999
"133","2020-10-15",48
"134","2020-10-16",51.68
"135","2020-10-19",50.630001
"136","2020-10-20",51.07
"137","2020-10-21",52.139999
"138","2020-10-22",52.689999
"139","2020-10-23",53.91
"140","2020-10-26",54.119999
"141","2020-10-27",58.41
"142","2020-10-28",63.209999
"143","2020-10-29",61.310001
"144","2020-10-30",55.599998
"145","2020-11-02",51.799999
"146","2020-11-03",53.165001
"147","2020-11-04",53
"148","2020-11-05",54.919998
"149","2020-11-06",55.540001
"150","2020-11-09",54.470001
"151","2020-11-10",56.66
"152","2020-11-11",54
"153","2020-11-12",54.380001
"154","2020-11-13",58.900002
"155","2020-11-16",68.019997
"156","2020-11-17",66.779999
"157","2020-11-18",68.57
"158","2020-11-19",69.489998
"159","2020-11-20",71.080002
"160","2020-11-23",76.209999
"161","2020-11-24",76
"162","2020-11-25",75.529999
"163","2020-11-27",76
