"","date","PE"
"1","2014-05-23",22.200001
"2","2014-05-27",22.68
"3","2014-05-28",23.33
"4","2014-05-29",23.889999
"5","2014-05-30",23.77
"6","2014-06-02",24.32
"7","2014-06-03",24.73
"8","2014-06-04",24.83
"9","2014-06-05",25.16
"10","2014-06-06",25
"11","2014-06-09",24.73
"12","2014-06-10",24.76
"13","2014-06-11",24.959999
"14","2014-06-12",24.99
"15","2014-06-13",24.6
"16","2014-06-16",23.620001
"17","2014-06-17",22.59
"18","2014-06-18",23.120001
"19","2014-06-19",23.540001
"20","2014-06-20",23.23
"21","2014-06-23",22.690001
"22","2014-06-24",22.110001
"23","2014-06-25",23.1
"24","2014-06-26",23.92
"25","2014-06-27",23.73
"26","2014-06-30",24.07
"27","2014-07-01",23.389999
"28","2014-07-02",23.120001
"29","2014-07-03",22.620001
"30","2014-07-07",22.950001
"31","2014-07-08",23.43
"32","2014-07-09",23.780001
"33","2014-07-10",23.74
"34","2014-07-11",23.209999
"35","2014-07-14",23.190001
"36","2014-07-15",22.610001
"37","2014-07-16",22.709999
"38","2014-07-17",23.35
"39","2014-07-18",23.290001
"40","2014-07-21",23.85
"41","2014-07-22",23.809999
"42","2014-07-23",23.950001
"43","2014-07-24",23.809999
"44","2014-07-25",23.309999
"45","2014-07-28",23.379999
"46","2014-07-29",23.860001
"47","2014-07-30",23.309999
"48","2014-07-31",22.57
"49","2014-08-01",21.549999
"50","2014-08-04",22.209999
"51","2014-08-05",21.91
"52","2014-08-06",21.76
"53","2014-08-07",21.42
"54","2014-08-08",21.15
"55","2014-08-11",22.219999
"56","2014-08-12",21.969999
"57","2014-08-13",20.959999
"58","2014-08-14",19.889999
"59","2014-08-15",20.43
"60","2014-08-18",20.950001
"61","2014-08-19",20.32
"62","2014-08-20",20.34
"63","2014-08-21",20.08
"64","2014-08-22",20.02
"65","2014-08-25",20.16
"66","2014-08-26",20.99
"67","2014-08-27",20.93
"68","2014-08-28",21.549999
"69","2014-08-29",21.92
"70","2014-09-02",21.93
"71","2014-09-03",21.58
"72","2014-09-04",20.83
