"","date","ATHE"
"1","2007-01-03",18.780001
"2","2007-01-04",18.9
"3","2007-01-05",18.299999
"4","2007-01-08",18.299999
"5","2007-01-09",18.719999
"6","2007-01-10",19.5
"7","2007-01-11",19.02
"8","2007-01-12",19.200001
"9","2007-01-16",18.66
"10","2007-01-17",18.780001
"11","2007-01-18",19.200001
"12","2007-01-19",19.200001
"13","2007-01-22",18.9
"14","2007-01-23",18.84
"15","2007-01-24",19.02
"16","2007-01-25",18.540001
"17","2007-01-26",18.959999
"18","2007-01-29",18.42
"19","2007-01-30",18.18
"20","2007-01-31",18
"21","2007-02-01",17.459999
"22","2007-02-02",17.4
"23","2007-02-05",16.860001
"24","2007-02-06",16.379999
"25","2007-02-07",16.5
"26","2007-02-08",17.040001
"27","2007-02-09",17.52
"28","2007-02-12",18
"29","2007-02-13",18
"30","2007-02-14",17.459999
"31","2007-02-15",18.719999
"32","2007-02-16",17.82
"33","2007-02-20",18.42
"34","2007-02-21",18.540001
"35","2007-02-22",18
"36","2007-02-23",18.059999
"37","2007-02-26",17.639999
"38","2007-02-27",16.68
"39","2007-02-28",16.559999
"40","2007-03-01",16.98
"41","2007-03-02",16.98
"42","2007-03-05",16.200001
"43","2007-03-06",15.48
"44","2007-03-07",14.88
"45","2007-03-08",15.48
"46","2007-03-09",14.88
"47","2007-03-12",15.54
"48","2007-03-13",15.3
"49","2007-03-14",15.24
"50","2007-03-15",15.12
"51","2007-03-16",15.42
"52","2007-03-19",15.72
"53","2007-03-20",15.72
"54","2007-03-21",16.379999
"55","2007-03-22",16.200001
"56","2007-03-23",16.32
"57","2007-03-26",15.96
"58","2007-03-27",16.5
"59","2007-03-28",16.5
"60","2007-03-29",16.620001
"61","2007-03-30",18
"62","2007-04-02",17.879999
"63","2007-04-03",17.040001
"64","2007-04-04",17.82
"65","2007-04-05",16.200001
"66","2007-04-09",16.620001
"67","2007-04-10",17.1
"68","2007-04-11",17.1
"69","2007-04-12",17.52
"70","2007-04-13",17.700001
"71","2007-04-16",17.82
"72","2007-04-17",17.34
"73","2007-04-18",17.76
"74","2007-04-19",17.1
"75","2007-04-20",17.52
"76","2007-04-23",18.719999
"77","2007-04-24",18.42
"78","2007-04-25",18
"79","2007-04-26",18.299999
"80","2007-04-27",18.9
"81","2007-04-30",18.9
"82","2007-05-01",17.879999
"83","2007-05-02",18.719999
"84","2007-05-03",19.32
"85","2007-05-04",18.18
"86","2007-05-07",18.48
"87","2007-05-08",18.299999
"88","2007-05-09",18.540001
"89","2007-05-10",18.24
"90","2007-05-11",18.719999
"91","2007-05-14",17.4
"92","2007-05-15",18
"93","2007-05-16",16.98
"94","2007-05-17",17.040001
"95","2007-05-18",17.82
"96","2007-05-21",17.940001
"97","2007-05-22",18
"98","2007-05-23",17.639999
"99","2007-05-24",15.9
"100","2007-05-25",16.860001
"101","2007-05-29",17.34
"102","2007-05-30",17.34
"103","2007-05-31",18.9
"104","2007-06-01",18.18
"105","2007-06-04",17.82
"106","2007-06-05",17.16
"107","2007-06-06",18.299999
"108","2007-06-07",18.6
"109","2007-06-08",18.48
"110","2007-06-11",18.6
"111","2007-06-12",17.280001
"112","2007-06-13",17.700001
"113","2007-06-14",18.059999
"114","2007-06-15",17.879999
"115","2007-06-18",17.219999
"116","2007-06-19",17.4
"117","2007-06-20",17.4
"118","2007-06-21",17.52
"119","2007-06-22",17.459999
"120","2007-06-25",17.1
"121","2007-06-26",16.92
"122","2007-06-27",16.92
"123","2007-06-28",17.700001
"124","2007-06-29",17.82
"125","2007-07-02",17.34
"126","2007-07-03",17.940001
"127","2007-07-05",17.040001
"128","2007-07-06",17.280001
"129","2007-07-09",17.459999
"130","2007-07-10",16.860001
"131","2007-07-11",16.68
"132","2007-07-12",17.1
"133","2007-07-13",16.799999
"134","2007-07-16",18
"135","2007-07-17",17.16
"136","2007-07-18",16.92
"137","2007-07-19",17.82
"138","2007-07-20",17.34
"139","2007-07-23",17.34
"140","2007-07-24",17.4
"141","2007-07-25",17.4
"142","2007-07-26",17.1
"143","2007-07-27",16.799999
"144","2007-07-30",17.219999
"145","2007-07-31",16.860001
"146","2007-08-01",15.66
"147","2007-08-02",15.66
"148","2007-08-03",16.799999
"149","2007-08-06",17.219999
"150","2007-08-07",17.16
"151","2007-08-08",17.280001
"152","2007-08-09",16.799999
"153","2007-08-10",17.639999
"154","2007-08-13",16.200001
"155","2007-08-14",16.02
"156","2007-08-15",15.66
"157","2007-08-16",15
"158","2007-08-17",16.74
"159","2007-08-20",15.06
"160","2007-08-21",15
"161","2007-08-22",15
"162","2007-08-23",15
"163","2007-08-24",15.6
"164","2007-08-27",15.12
"165","2007-08-28",14.46
"166","2007-08-29",14.28
"167","2007-08-30",13.5
"168","2007-08-31",15.48
"169","2007-09-04",15.66
"170","2007-09-05",13.8
"171","2007-09-06",14.1
"172","2007-09-07",15.54
"173","2007-09-10",15
"174","2007-09-11",15.12
"175","2007-09-12",14.4
"176","2007-09-13",14.52
"177","2007-09-14",14.7
"178","2007-09-17",15.84
"179","2007-09-18",13.98
"180","2007-09-19",15
"181","2007-09-20",14.88
"182","2007-09-21",15
"183","2007-09-24",15.42
"184","2007-09-25",16.799999
"185","2007-09-26",16.92
"186","2007-09-27",16.799999
"187","2007-09-28",16.379999
"188","2007-10-01",16.200001
"189","2007-10-02",16.02
"190","2007-10-03",16.200001
"191","2007-10-04",15.6
"192","2007-10-05",16.559999
"193","2007-10-08",18
"194","2007-10-09",16.799999
"195","2007-10-10",17.4
"196","2007-10-11",16.799999
