"","date","IRS"
"1","2007-01-03",17.34
"2","2007-01-04",17.26
"3","2007-01-05",17.17
"4","2007-01-08",16.98
"5","2007-01-09",16.799999
"6","2007-01-10",16.5
"7","2007-01-11",16.5
"8","2007-01-12",16.17
"9","2007-01-16",16.4
"10","2007-01-17",16.049999
"11","2007-01-18",16.200001
"12","2007-01-19",16
"13","2007-01-22",15.84
"14","2007-01-23",16.049999
"15","2007-01-24",16.790001
"16","2007-01-25",16.91
"17","2007-01-26",17.33
"18","2007-01-29",18.059999
"19","2007-01-30",18.120001
"20","2007-01-31",17.870001
"21","2007-02-01",18.1
"22","2007-02-02",18.040001
"23","2007-02-05",18.379999
"24","2007-02-06",18.629999
"25","2007-02-07",18.85
"26","2007-02-08",18.9
"27","2007-02-09",18.68
"28","2007-02-12",18.85
"29","2007-02-13",18.83
"30","2007-02-14",18.620001
"31","2007-02-15",18.700001
"32","2007-02-16",18.75
"33","2007-02-20",18.85
"34","2007-02-21",18.549999
"35","2007-02-22",18.66
"36","2007-02-23",18.540001
"37","2007-02-26",18.219999
"38","2007-02-27",17.01
"39","2007-02-28",17.65
"40","2007-03-01",16.82
"41","2007-03-02",16.42
"42","2007-03-05",15.75
"43","2007-03-06",16.469999
"44","2007-03-07",16.92
"45","2007-03-08",17.15
"46","2007-03-09",17.049999
"47","2007-03-12",17.23
"48","2007-03-13",16.870001
"49","2007-03-14",16.809999
"50","2007-03-15",17.1
"51","2007-03-16",16.959999
"52","2007-03-19",16.950001
"53","2007-03-20",17.01
"54","2007-03-21",17.24
"55","2007-03-22",17.9
"56","2007-03-23",18.75
"57","2007-03-26",19
"58","2007-03-27",19.01
"59","2007-03-28",18.93
"60","2007-03-29",18.83
"61","2007-03-30",19.129999
"62","2007-04-02",19.450001
"63","2007-04-03",19.52
"64","2007-04-04",19.379999
"65","2007-04-05",19.23
"66","2007-04-09",19.26
"67","2007-04-10",19.5
"68","2007-04-11",19.33
"69","2007-04-12",19.1
"70","2007-04-13",19.1
"71","2007-04-16",19.690001
"72","2007-04-17",19.889999
"73","2007-04-18",19.700001
"74","2007-04-19",19.66
"75","2007-04-20",19.959999
"76","2007-04-23",20.290001
"77","2007-04-24",20.4
"78","2007-04-25",20.23
"79","2007-04-26",20.27
"80","2007-04-27",20.700001
"81","2007-04-30",20.92
"82","2007-05-01",20.549999
"83","2007-05-02",20.99
"84","2007-05-03",20.75
"85","2007-05-04",20.540001
"86","2007-05-07",20.450001
"87","2007-05-08",20.440001
"88","2007-05-09",20.52
"89","2007-05-10",19.82
"90","2007-05-11",20.09
"91","2007-05-14",20.049999
"92","2007-05-15",20.309999
"93","2007-05-16",20.65
"94","2007-05-17",20.690001
"95","2007-05-18",20.76
"96","2007-05-21",21.42
"97","2007-05-22",21.299999
"98","2007-05-23",21.52
"99","2007-05-24",21.07
"100","2007-05-25",21.219999
"101","2007-05-29",21.360001
"102","2007-05-30",21
"103","2007-05-31",21.35
"104","2007-06-01",21.139999
"105","2007-06-04",21.059999
"106","2007-06-05",20.83
"107","2007-06-06",20.67
"108","2007-06-07",19.440001
"109","2007-06-08",19.9
"110","2007-06-11",20.1
"111","2007-06-12",19.889999
"112","2007-06-13",19.780001
"113","2007-06-14",19.469999
"114","2007-06-15",19.700001
"115","2007-06-18",19.799999
"116","2007-06-19",19.85
"117","2007-06-20",19.52
"118","2007-06-21",19.559999
"119","2007-06-22",19.74
"120","2007-06-25",19.209999
"121","2007-06-26",18.85
"122","2007-06-27",19.110001
"123","2007-06-28",18.66
"124","2007-06-29",18.5
"125","2007-07-02",18.639999
"126","2007-07-03",18.870001
"127","2007-07-05",18.790001
"128","2007-07-06",19.15
"129","2007-07-09",20.110001
"130","2007-07-10",20.360001
"131","2007-07-11",20.370001
"132","2007-07-12",20.74
"133","2007-07-13",20.84
"134","2007-07-16",20.299999
"135","2007-07-17",20
"136","2007-07-18",19.690001
"137","2007-07-19",19.92
"138","2007-07-20",20.129999
"139","2007-07-23",19.969999
"140","2007-07-24",19.299999
"141","2007-07-25",18.889999
"142","2007-07-26",18.35
"143","2007-07-27",18.17
"144","2007-07-30",18.950001
"145","2007-07-31",18.35
"146","2007-08-01",18.59
"147","2007-08-02",18.690001
"148","2007-08-03",17.799999
"149","2007-08-06",17.25
"150","2007-08-07",16.889999
"151","2007-08-08",17.24
"152","2007-08-09",16.139999
"153","2007-08-10",16.549999
"154","2007-08-13",16.41
"155","2007-08-14",15.76
"156","2007-08-15",15.41
"157","2007-08-16",14.45
"158","2007-08-17",15.35
"159","2007-08-20",15.25
"160","2007-08-21",15.6
"161","2007-08-22",16.41
"162","2007-08-23",16.49
"163","2007-08-24",16.700001
"164","2007-08-27",16.9
"165","2007-08-28",16.4
"166","2007-08-29",16.360001
"167","2007-08-30",16.48
"168","2007-08-31",17
"169","2007-09-04",16.9
"170","2007-09-05",16.450001
"171","2007-09-06",16.25
"172","2007-09-07",16.030001
"173","2007-09-10",15.93
"174","2007-09-11",15.87
"175","2007-09-12",15.93
"176","2007-09-13",15.33
"177","2007-09-14",15.09
"178","2007-09-17",14.97
"179","2007-09-18",15.36
"180","2007-09-19",15.48
"181","2007-09-20",15.5
"182","2007-09-21",15.5
"183","2007-09-24",15.43
"184","2007-09-25",15
"185","2007-09-26",14.73
"186","2007-09-27",15.34
"187","2007-09-28",15.87
"188","2007-10-01",16
"189","2007-10-02",15.7
"190","2007-10-03",15.64
"191","2007-10-04",15.48
"192","2007-10-05",15.66
"193","2007-10-08",15.95
"194","2007-10-09",16.48
"195","2007-10-10",16.4
"196","2007-10-11",16.35
"197","2007-10-12",16.51
