"","date","VVV"
"1","2016-09-23",23.1
"2","2016-09-26",23.98
"3","2016-09-27",23.68
"4","2016-09-28",23.85
"5","2016-09-29",23.5
"6","2016-09-30",23.49
"7","2016-10-03",23.209999
"8","2016-10-04",23.129999
"9","2016-10-05",23
"10","2016-10-06",23.07
"11","2016-10-07",22.75
"12","2016-10-10",23.09
"13","2016-10-11",22.98
"14","2016-10-12",23.200001
"15","2016-10-13",23.15
"16","2016-10-14",23.280001
"17","2016-10-17",23.110001
"18","2016-10-18",22.780001
"19","2016-10-19",22.299999
"20","2016-10-20",22.1
"21","2016-10-21",21.57
"22","2016-10-24",21.35
"23","2016-10-25",21.07
"24","2016-10-26",20.709999
"25","2016-10-27",20.4
"26","2016-10-28",20.59
"27","2016-10-31",20.4
"28","2016-11-01",20.059999
"29","2016-11-02",20.1
"30","2016-11-03",20.33
"31","2016-11-04",20.68
"32","2016-11-07",20.790001
"33","2016-11-08",21.030001
"34","2016-11-09",19.799999
"35","2016-11-10",18.93
"36","2016-11-11",18.9
"37","2016-11-14",19.610001
"38","2016-11-15",19.84
"39","2016-11-16",20.280001
"40","2016-11-17",20.93
"41","2016-11-18",21.49
"42","2016-11-21",21.5
"43","2016-11-22",21
"44","2016-11-23",21
"45","2016-11-25",21.09
"46","2016-11-28",21.139999
"47","2016-11-29",21.219999
"48","2016-11-30",20.99
"49","2016-12-01",20.280001
"50","2016-12-02",19.98
"51","2016-12-05",19.91
"52","2016-12-06",19.799999
"53","2016-12-07",20.24
"54","2016-12-08",19.959999
"55","2016-12-09",20.540001
"56","2016-12-12",20.889999
"57","2016-12-13",21.190001
"58","2016-12-14",20.559999
"59","2016-12-15",20.73
"60","2016-12-16",20.6
"61","2016-12-19",20.719999
"62","2016-12-20",20.809999
"63","2016-12-21",21.190001
"64","2016-12-22",21.299999
"65","2016-12-23",21.59
"66","2016-12-27",21.92
"67","2016-12-28",21.610001
"68","2016-12-29",21.5
"69","2016-12-30",21.5
"70","2017-01-03",21.49
"71","2017-01-04",21.17
"72","2017-01-05",21.6
"73","2017-01-06",21.469999
"74","2017-01-09",21.67
"75","2017-01-10",21.950001
"76","2017-01-11",21.92
"77","2017-01-12",21.99
"78","2017-01-13",22.360001
"79","2017-01-17",22.360001
