"","date","MSC"
"1","2018-10-18",15.5
"2","2018-10-19",16.59
"3","2018-10-22",18.25
"4","2018-10-23",18.25
"5","2018-10-24",16.83
"6","2018-10-25",17
"7","2018-10-26",18.02
"8","2018-10-29",17.860001
"9","2018-10-30",18.85
"10","2018-10-31",20.139999
"11","2018-11-01",23.5
"12","2018-11-02",25.48
"13","2018-11-05",24.790001
"14","2018-11-06",20.73
"15","2018-11-07",18.040001
"16","2018-11-08",18.75
"17","2018-11-09",18.440001
"18","2018-11-12",17.4
"19","2018-11-13",17.5
"20","2018-11-14",17.5
"21","2018-11-15",16.790001
"22","2018-11-16",17.25
"23","2018-11-19",16.040001
"24","2018-11-20",16.33
"25","2018-11-21",16
"26","2018-11-23",16.25
"27","2018-11-26",16.309999
"28","2018-11-27",16.309999
"29","2018-11-28",15.99
"30","2018-11-29",15.38
"31","2018-11-30",14.64
"32","2018-12-03",17.48
"33","2018-12-04",19.15
"34","2018-12-06",19.299999
"35","2018-12-07",19.469999
"36","2018-12-10",19.469999
"37","2018-12-11",18.73
"38","2018-12-12",18.5
"39","2018-12-13",18.5
"40","2018-12-14",18.5
"41","2018-12-17",18.6
"42","2018-12-18",18.59
"43","2018-12-19",17.950001
"44","2018-12-20",18
"45","2018-12-21",17.58
"46","2018-12-24",17.5
"47","2018-12-26",17.5
"48","2018-12-27",17.5
"49","2018-12-28",16.4
"50","2018-12-31",16.719999
"51","2019-01-02",16.719999
"52","2019-01-03",16.719999
"53","2019-01-04",16.719999
"54","2019-01-07",16.719999
"55","2019-01-08",16.719999
"56","2019-01-09",15.72
"57","2019-01-10",16.719999
"58","2019-01-11",16.370001
"59","2019-01-14",16.17
"60","2019-01-15",16.27
"61","2019-01-16",15.5
"62","2019-01-17",14.7
"63","2019-01-18",13.8
"64","2019-01-22",13.54
"65","2019-01-23",13.08
"66","2019-01-24",13
"67","2019-01-25",13
"68","2019-01-28",13.12
"69","2019-01-29",13
"70","2019-01-30",13.5
"71","2019-01-31",15.18
"72","2019-02-01",15.18
"73","2019-02-04",15.4
"74","2019-02-05",15.57
"75","2019-02-06",14.65
"76","2019-02-07",15
"77","2019-02-08",14.5
"78","2019-02-11",15
"79","2019-02-12",15.5
"80","2019-02-13",17.790001
"81","2019-02-14",16.9
"82","2019-02-15",17.610001
"83","2019-02-19",17.5
"84","2019-02-20",17.690001
"85","2019-02-21",17.27
"86","2019-02-22",17.48
"87","2019-02-25",17.26
"88","2019-02-26",17.16
"89","2019-02-27",17.200001
"90","2019-02-28",16.49
"91","2019-03-01",18.07
"92","2019-03-04",17.700001
"93","2019-03-05",17.139999
"94","2019-03-06",15.75
"95","2019-03-07",16.41
"96","2019-03-08",17.459999
"97","2019-03-11",16.370001
"98","2019-03-12",16.26
"99","2019-03-13",15.75
"100","2019-03-14",16.02
"101","2019-03-15",17.09
"102","2019-03-18",17.370001
"103","2019-03-19",16.82
"104","2019-03-20",17.01
"105","2019-03-21",17.5
"106","2019-03-22",17.5
"107","2019-03-25",16.450001
"108","2019-03-26",16.5
"109","2019-03-27",16.280001
"110","2019-03-28",15.93
"111","2019-03-29",15.83
"112","2019-04-01",16.32
"113","2019-04-02",16.5
"114","2019-04-03",16.049999
"115","2019-04-04",16.5
"116","2019-04-05",16.93
"117","2019-04-08",17.030001
"118","2019-04-09",17.299999
"119","2019-04-10",17.01
"120","2019-04-11",17.08
"121","2019-04-12",16.75
"122","2019-04-15",16.9
"123","2019-04-16",17
"124","2019-04-17",16.75
"125","2019-04-18",17.120001
"126","2019-04-22",17.139999
"127","2019-04-23",17.129999
"128","2019-04-24",17.1
"129","2019-04-25",16.9
"130","2019-04-26",16.9
"131","2019-04-29",17.200001
"132","2019-04-30",17.200001
"133","2019-05-01",18.23
"134","2019-05-02",19
"135","2019-05-03",18.780001
"136","2019-05-06",18.52
"137","2019-05-07",18.77
"138","2019-05-08",18.82
"139","2019-05-09",18.5
"140","2019-05-10",18.879999
"141","2019-05-13",18.059999
"142","2019-05-14",18.26
"143","2019-05-15",18.02
"144","2019-05-16",18.1
"145","2019-05-17",18.879999
"146","2019-05-20",18.01
"147","2019-05-21",17.280001
"148","2019-05-22",18
"149","2019-05-23",18.51
"150","2019-05-24",18.860001
"151","2019-05-28",18.68
"152","2019-05-29",18.68
"153","2019-05-30",19.190001
"154","2019-05-31",19.719999
"155","2019-06-03",19.469999
"156","2019-06-04",19.700001
"157","2019-06-05",20.719999
"158","2019-06-06",19.120001
"159","2019-06-07",20.040001
"160","2019-06-10",19.4
"161","2019-06-11",19.709999
"162","2019-06-12",19.780001
"163","2019-06-13",19.4
"164","2019-06-14",19.6
"165","2019-06-17",19.700001
"166","2019-06-18",19.530001
"167","2019-06-19",19.82
"168","2019-06-20",19.5
"169","2019-06-21",20.549999
"170","2019-06-24",20.08
"171","2019-06-25",20.459999
"172","2019-06-26",20.049999
"173","2019-06-27",19.610001
"174","2019-06-28",19.82
"175","2019-07-01",19.5
"176","2019-07-02",20.200001
"177","2019-07-03",20.440001
"178","2019-07-05",20.549999
"179","2019-07-08",20.73
"180","2019-07-09",20.780001
"181","2019-07-10",20.549999
"182","2019-07-11",20.790001
"183","2019-07-12",20.040001
"184","2019-07-15",20.690001
"185","2019-07-16",20.5
"186","2019-07-17",20
"187","2019-07-18",19.51
"188","2019-07-19",19.5
"189","2019-07-22",19.49
"190","2019-07-23",19.52
"191","2019-07-24",20.01
"192","2019-07-25",20.450001
"193","2019-07-26",20.950001
"194","2019-07-29",20.290001
"195","2019-07-30",20.5
"196","2019-07-31",20.110001
"197","2019-08-01",20.01
"198","2019-08-02",20.01
"199","2019-08-05",20.01
"200","2019-08-06",19.6
"201","2019-08-07",19.5
"202","2019-08-08",19.5
"203","2019-08-09",19.5
"204","2019-08-12",19.5
"205","2019-08-13",19.5
"206","2019-08-14",19.5
"207","2019-08-15",19.5
"208","2019-08-16",19.5
"209","2019-08-19",19.5
"210","2019-08-20",19.5
"211","2019-08-21",19.5
"212","2019-08-22",19.5
"213","2019-08-23",19.5
"214","2019-08-26",19.5
