,symbol,name,capital,sector,industty,market,X2020.10.23,pnq,600,,단위,,매수가,구매수량,
6,ATLC,Atlanticus Holdings Corporation - Common Stock,2.15E+11,Financial Services,Credit Services,nasdaq,12.36,0.0334875,20.0925,1.6256067961,2,24.72,12.36,2,24.72
9,BLNK,Blink Charging Co. - Common Stock,2.86E+11,Consumer Cyclical,Specialty Retail,nasdaq,8.6,0.0299875,17.9925,2.0921511628,2,17.2,16.98,2,33.96
11,CFBK,CF Bankshares Inc. - Common Stock,8.04E+10,Financial Services,Banks-Regional,nasdaq,13.46,0.1999875,119.9925,8.9147473997,9,121.14,13.7426,19,261.1094
14,CLSK,"CleanSpark, Inc. - Common Stock",2.20E+11,Technology,Software-Infrastructure,nasdaq,8.8,0.0299875,17.9925,2.0446022727,2,17.6,8.8,2,17.6
19,EDUC,Educational Development Corporation - Common Stock,1.57E+10,Communication Services,Publishing,nasdaq,18.190001,0.1705875,102.3525,5.6268551057,6,109.140006,18.19,6,109.14
22,FUTU,Futu Holdings Limited - American Depositary Shares,4.51E+12,Financial Services,Capital Markets,nasdaq,33.220001,0.1365875,81.9525,2.4669625988,2,66.440002,33,2,66
25,GRWG,GrowGeneration Corp. - Common Stock,8.61E+11,Consumer Cyclical,Home Improvement Retail,nasdaq,20.620001,0.0299875,17.9925,0.87257512742,1,20.620001,20.3,1,20.3
26,IMTE,Integrated Media Technology Limited - Ordinary Shares,1.43E+10,Technology,Electronic Components,nasdaq,4.825,0.0354875,21.2925,4.4129533679,4,19.3,4.45,4,17.8
33,MYT,"Urban Tea, Inc. - Ordinary Shares",1.54E+10,Consumer Cyclical,Restaurants,nasdaq,1.83,0.0299875,17.9925,9.8319672131,10,18.3,1.8,10,18
36,NFE,New Fortress Energy Inc. - Class A Common Stock,8.40E+12,Utilities,Utilities-Regulated Gas,nasdaq,50.59,0.0972875,58.3725,1.15383475,1,50.59,50.59,1,50.59
44,OXBR,Oxbridge Re Holdings Limited - Ordinary Shares,1.12E+10,Financial Services,Insurance-Reinsurance,nasdaq,1.97,0.0299875,17.9925,9.133248731,9,17.73,1.9,9,17.1
50,RESN,Resonant Inc. - Common Stock,1.44E+11,Technology,Semiconductors,nasdaq,2.34,0.0419875,25.1925,10.766025641,11,25.74,2.34,11,25.74
51,SGLB,"Sigma Labs, Inc. - Common Stock",1.39E+10,Technology,Information Technology Services,nasdaq,2.44,0.0299875,17.9925,7.3739754098,7,17.08,,,0
54,TEUM,Pareteum Corporation - Common Stock,9.90E+10,Communication Services,Telecom Services,nasdaq,0.69,0.0299875,17.9925,26.076086957,26,17.94,0.6906,26,17.9556
55,TOMZ,"TOMI Environmental Solutions, Inc. - Common Stock",1.68E+11,Financial Services,Diversified Investments,nasdaq,7.63,0.0299875,17.9925,2.3581258191,2,15.26,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,704.735
,symbol,매수가,구매수량,,,,,,,,,,,,
,ATLC,24.72,2,,,,,,,,,,,,
,BLNK,16.98,2,,,,,,,,,,,,
,CFBK,13.7426,19,,,,,,,,,,,,
,CLSK,8.8,2,,,,,,,,,,,,
,EDUC,18.19,6,,,,,,,,,,,,
,FUTU,33,2,,,,,,,,,,,,
,GRWG,20.3,1,,,,,,,,,,,,
,IMTE,4.45,4,,,,,,,,,,,,
,MYT,1.8,10,,,,,,,,,,,,
,NFE,50.59,1,,,,,,,,,,,,
,OXBR,1.9,9,,,,,,,,,,,,
,RESN,2.34,11,,,,,,,,,,,,
,SGLB,,,,,,,,,,,,,,
,TEUM,0.6906,26,,,,,,,,,,,,
,TOMZ,,,,,,,,,,,,,,
