,symbol,name,capital,sector,industty,market,gro,ret
1,ATLC,Atlanticus Holdings Corporation - Common Stock,2.15E+11,Financial Services,Credit Services,nasdaq,792.7,0.53731343284
2,AXNX,"Axonics Modulation Technologies, Inc. - Common Stock",1.96E+12,Healthcare,Medical Devices,nasdaq,922.4,1.4044294174
3,AYTU,"Aytu BioScience, Inc. - Common Stock",1.32E+11,Healthcare,Biotechnology,nasdaq,766.1,-0.12389380531
4,CCXI,"ChemoCentryx, Inc. - Common Stock",4.03E+12,Healthcare,Biotechnology,nasdaq,589.3,6.7064218873
5,CHNR,"China Natural Resources, Inc. - Common Stock",43232000000,Basic Materials,Other Industrial Metals & Mining,nasdaq,389.5,0.045801526718
6,CLSD,"Clearside Biomedical, Inc. - Common Stock",69967000000,Healthcare,Biotechnology,nasdaq,686.7,0.53594771242
7,CLXT,"Calyxt, Inc. - Common Stock",1.83E+11,Consumer Defensive,Packaged Foods,nasdaq,465.4,-0.22058823529
8,DRNA,"Dicerna Pharmaceuticals, Inc. - Common Stock",1.42E+12,Healthcare,Biotechnology,nasdaq,611.9,0.19470110906
9,DRRX,DURECT Corporation - Common Stock,3.83E+11,Healthcare,Drug Manufacturers-Specialty & Generic,nasdaq,548.5,0.0052083333333
10,EDIT,"Editas Medicine, Inc. - Common Stock",1.96E+12,Healthcare,Biotechnology,nasdaq,361.3,0.58413916828
11,GHSI,"Guardion Health Sciences, Inc. - Common Stock",18487000000,Healthcare,Drug Manufacturers-Specialty & Generic,nasdaq,356.3,-0.58085106383
12,GMAB,Genmab A/S - American Depositary Shares,2.49E+13,Healthcare,Biotechnology,nasdaq,604.3,0.68413588291
13,IMTE,Integrated Media Technology Limited - Ordinary Shares,14286000000,Technology,Electronic Components,nasdaq,664.4,-0.29562043796
14,IMV,IMV Inc. - Common Shares,2.56E+11,Healthcare,Biotechnology,nasdaq,816.7,0.21582733813
15,KPTI,Karyopharm Therapeutics Inc. - Common Stock,1.11E+12,Healthcare,Biotechnology,nasdaq,253,0.41981981982
16,MEDS,"Trxade Group, Inc. - Common Stock",52427000000,Healthcare,Pharmaceutical Retailers,nasdaq,244,5.8462401796
17,MRNA,"Moderna, Inc. - Common Stock",3.09E+13,Healthcare,Biotechnology,nasdaq,407.2,3.2513561784
18,MRSN,"Mersana Therapeutics, Inc. - Common Stock",1.34E+12,Healthcare,Biotechnology,nasdaq,294.1,8.9891891892
19,MYSZ,"My Size, Inc. - Common Stock",772000000,Technology,Software-Application,nasdaq,320,-0.84084076915
20,MYT,"Urban Tea, Inc. - Ordinary Shares",15372000000,Consumer Cyclical,Restaurants,nasdaq,717,2.66
21,NEPT,Neptune Wellness Solutions Inc. - Ordinary Shares,2.69E+11,Healthcare,Drug Manufacturers-Specialty & Generic,nasdaq,389.9,-0.45142857143
22,NVAX,"Novavax, Inc. - Common Stock",7.29E+12,Healthcare,Biotechnology,nasdaq,958.6,20.810303747
23,NYMT,"New York Mortgage Trust, Inc. - Common Stock",1.03E+12,Real Estate,REIT-Mortgage,nasdaq,288.1,-0.5501618123
24,NYMTN,"New York Mortgage Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",1.07E+12,Real Estate,REIT-Mortgage,nasdaq,288.1,-0.20756976096
25,NYMTO,"New York Mortgage Trust, Inc. - 7.875% Series C Cumulative Redeemable Preferred Stock",1.07E+12,Real Estate,REIT-Mortgage,nasdaq,288.1,-0.18113357115
26,NYMTP,"New York Mortgage Trust, Inc. - 7.75% Series B Cumulative Redeemable Preferred Stock",1.08E+12,Real Estate,REIT-Mortgage,nasdaq,288.1,-0.20689655172
27,OXBR,Oxbridge Re Holdings Limited - Ordinary Shares,11181000000,Financial Services,Insurance-Reinsurance,nasdaq,342.2,0.97394789579
28,PRTK,"Paratek Pharmaceuticals, Inc.  - Common Stock",2.48E+11,Healthcare,Biotechnology,nasdaq,356,0.4347826087
29,PTON,"Peloton Interactive, Inc. - Common Stock",3.77E+13,Consumer Cyclical,Leisure,nasdaq,171.8,4.7417993908
30,RESN,Resonant Inc. - Common Stock,1.44E+11,Technology,Semiconductors,nasdaq,858.7,0.068493150685
31,SGLB,"Sigma Labs, Inc. - Common Stock",13922000000,Technology,Information Technology Services,nasdaq,399.3,3.5395348837
32,SIGA,SIGA Technologies Inc. - Common Stock,5.33E+11,Healthcare,Biotechnology,nasdaq,932.6,0.26765799257
33,SYRS,"Syros Pharmaceuticals, Inc. - common stock",4.59E+11,Healthcare,Biotechnology,nasdaq,590,0.38674033149
34,TEUM,Pareteum Corporation - Common Stock,98979000000,Communication Services,Telecom Services,nasdaq,468.8,0.56818181818
35,TOMZ,"TOMI Environmental Solutions, Inc. - Common Stock",1.68E+11,Financial Services,Diversified Investments,nasdaq,512,8.5375
36,TRIL,Trillium Therapeutics Inc. - Common Shares,1.57E+12,Healthcare,Biotechnology,nasdaq,360,46.372262774
37,VXRT,"Vaxart, Inc. - Common Stock",8.38E+11,Healthcare,Biotechnology,nasdaq,515.3,16.625
38,XERS,"Xeris Pharmaceuticals, Inc. - Common Stock",2.42E+11,Healthcare,Biotechnology,nasdaq,582.5,-0.3041301627
39,ZLAB,Zai Lab Limited - American Depositary Shares,1.02E+12,Healthcare,Biotechnology,nasdaq,461.8,1.8440964449
40,ZM,"Zoom Video Communications, Inc. - Class A Common Stock",1.47E+13,Communication Services,Telecom Services,nasdaq,355,6.9280845131
