,sector,etf
1,Communication services ,VOX
2,Consumer staples ,VDC
3,Financials,VFH
4,Industrials,VIS
5,Materials,VAW
6,Utilities,VPU
7,Consumer discretionary,VCR
8,Energy ,VDE
9,Healthcare,VHT
10,Information technology,VGT
11,Real estate,VNQ
