symbol,name,capital,sector,industty,market,per,pbr,roe,growth,ret12,ret6,ret,2020-10-23,400,,,수정,,매수가,실매수수량,,,symbol,매수가,실매수수량
AP,Ampco-Pittsburgh Corporation,"6,628,000,000",Industrials,Metal Fabrication,nyse,9.18,1.53,11.09,-27.1,0.32345013477,0.71678321678,0.46567164179,4.91,0.0896,35.84,7,3,14.73,4.8,1,4.8,,AP,4.8,1
BIG,"Big Lots, Inc.","198,000,000,000",Consumer Defensive,Discount Stores,nyse,2.94,1.59,73.2,31.3,1.1391751229,0.83088224886,0.052186708126,49.799999,0.05,20,0,1,49.799999,,,0,,BIG,,
BRBR,"BellRing Brands, Inc.","86,979,000,000",Consumer Defensive,Packaged Foods,nyse,6.56,NA,61.3,-14.1,0.28650308506,-0.013640686736,0.073732612712,20.969999,0.2,80,4,1,20.969999,,,0,,BRBR,,
BSIG,BrightSphere Investment Group Inc.,"119,000,000,000",Financial Services,Asset Management,nyse,7.12,17.48,138.83,-15.6,0.61940298507,0.52663316583,0.15777439024,15.19,0.05,20,1,1,15.19,14.75,1,14.75,,BSIG,14.75,1
DAC,Danaos Corporation,"20,848,000,000",Industrials,Marine Shipping,nyse,1.39,0.22,15.86,4,-0.22708505367,0.57046979866,0.8,9.36,0.05,20,2,2,18.72,,,0,,DAC,,
DAR,Darling Ingredients Inc.,"686,000,000,000",Consumer Defensive,Packaged Foods,nyse,17.46,2.68,16.57,2.6,1.3800210888,0.59680841855,0.30521736232,45.029999,0.05,20,0,1,45.029999,,,0,,DAR,,
HBB,Hamilton Beach Brands Holding Company,"28,775,000,000",Technology,Consumer Electronics,nyse,9.48,4.69,50.65,5.5,0.227297511,0.45612903226,0.10528893242,22.57,0.05,20,1,2,45.14,,,0,,HBB,,
HBI,Hanesbrands Inc.,"599,000,000,000",Consumer Cyclical,Apparel Manufacturing,nyse,12.04,5.59,47.28,-1.3,0.10219435737,0.23802816901,0.14230019493,17.58,0.05,20,1,1,17.58,17.5,1,17.5,,HBI,17.5,1
JKS,JinkoSolar Holding Company Limited,"279,000,000,000",Technology,Solar,nyse,16,2.02,11.82,22.2,3.2195281127,1.9755084092,2.0458846758,64.389999,0.05,20,0,1,64.389999,64.31,1,64.31,,JKS,64.31,1
KRA,Kraton Corporation,"80,709,000,000",Basic Materials,Specialty Chemicals,nyse,4.81,0.92,21.55,-28.2,0.39017735334,0.85385081868,0.77320185615,30.57,0.05,20,1,1,30.57,27.53,1,27.53,,KRA,27.53,1
LAC,Lithium Americas Corp.,"131,000,000,000",Basic Materials,Other Industrial Metals & Mining,nyse,25.79,8.02,40.77,NA,2.3396226415,1.5652173913,0.514978602,10.62,0.05,20,2,2,21.24,10.64,2,21.28,,LAC,10.64,2
LITB,"LightInTheBox Holding Co., Ltd.","30,627,000,000",Consumer Cyclical,Internet Retail,nyse,9.68,7.63,591.69,95.9,1.3883495146,1.4117647059,0.25510204082,2.46,0.1026,41.04,17,10,24.6,2.46,10,24.6,,LITB,2.46,10
MTOR,"Meritor, Inc.","187,000,000,000",Consumer Cyclical,Auto Parts,nyse,7.06,5.08,63.09,-55.9,0.15752212389,0.06862745098,0.11556498441,26.16,0.05,20,1,1,26.16,25.6,1,25.6,,MTOR,25.6,1
TNET,"TriNet Group, Inc.","443,000,000,000",Industrials,Staffing & Employment Services,nyse,15.17,7.61,60.66,1.4,0.23314558798,0.26532403731,0.17422397488,72.25,0.05,20,0,1,72.25,71,1,71,,TNET,71,1
VHC,VirnetX Holding Corp,"42,564,000,000",Technology,Software-Infrastructure,nyse,1.49,1.77,233.36,-52.6,0.05565529623,0.39007092199,0.17835671343,5.88,0.0578,23.12,4,4,23.52,5.79,4,23.16,,VHC,4,5.79
,,,,,,,,,,,,,,,,,,489.889996,,,294.53,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,비중,,비중,,,,,,,
,,,,,,,,,,,,,,,,산업재,72,15%,25,,,,,,
,,,,,,,,,,,,,,,,경기방어,107.749999,22%,20,,,,,,
,,,,,,,,,,,,,,,,금융,64.389999,13%,3,,,,,,
,,,,,,,,,,,,,,,,경기주,54.879999,11%,10,,,,,,
,,,,,,,,,,,,,,,,원자재,64.529999,13%,9,,,,,,
,,,,,,,,,,,,,,,,기술주,121.93,25%,30,,,,,,
,,,,,,,,,,,,,,,,,485.479996,100%,97,,,,,,
