,symbol,name,sector,industty,price,12m,6m,1w
1,AIHS,Senmiao Technology Limited - Common Stock,Financial Services,Credit Services,1.045,2.8560885609,1.0983935743,-0.05
2,EVGN,Evogene Ltd. - Ordinary Shares,Healthcare,Biotechnology,2.62,0.6582278481,0.96992481203,-0.083916083916
3,TANH,Tantech Holdings Ltd. - Common Stock,Consumer Defensive,Household & Personal Products,2.76,0.85234899329,0.54189944134,-0.014285714286
4,BNSO,"Bonso Electronics International, Inc. - Common Stock",Technology,Scientific & Technical Instruments,4.2,0.875,0.52727272727,-0.11016949153
5,UMC,United Microelectronics Corporation,Technology,Semiconductors,5.34,1.2820512821,0.34508816121,-0.032608695652
6,NTZ,"Natuzzi, S.p.A.",Consumer Cyclical,Furnishings,5.65,2.53125,2.4242424242,-0.10883280757
7,CLPT,ClearPoint Neuro Inc. - Common Stock,Healthcare,Medical Devices,6.81,0.75968992248,0.74168797954,-0.010174418605
8,LMB,"Limbach Holdings, Inc. - Common Stock",Industrials,Engineering & Construction,8.64,0.80375782881,0.8989010989,-0.0046082949309
9,VOXX,VOXX International Corporation - Class A Common Stock,Technology,Consumer Electronics,10.43,1.3024282561,0.57078313253,-0.16090104586
10,PACB,"Pacific Biosciences of California, Inc. - Common Stock",Healthcare,Diagnostics & Research,14.38,1.9527720739,1.5632798574,0.029348604152
11,OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,24.5,2.5150645624,0.54088050314,-0.015273272318
12,AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Financial Services,Capital Markets,29.26,1.8026819923,0.24193553658,-0.06368
13,WTRE,Watford Holdings Ltd. - Common Shares,Financial Services,Insurance-Diversified,34.540001,0.36091419862,1.065789657,-0.024293812187
14,SFIX,"Stitch Fix, Inc. - Class A Common Stock",Consumer Cyclical,Specialty Retail,37.34,0.61156668105,0.58758503401,-0.015554969681
15,NFE,New Fortress Energy Inc. - Class A Common Stock,Utilities,Utilities-Regulated Gas,37.827499,1.1903589461,0.44821966125,-0.15051650911
16,SRRK,Scholar Rock Holding Corporation - Common Stock,Healthcare,Biotechnology,41.889999,3.5335496753,2.0509831755,-0.035459382915
17,TBK,"Triumph Bancorp, Inc. - Common Stock",Financial Services,Banks-Regional,42.139999,0.23180357298,0.45410624569,-0.039653645404
18,REPL,"Replimune Group, Inc. - Common Stock",Healthcare,Biotechnology,45.669998,1.710385638,0.99171382468,0.015565865787
19,REGI,"Renewable Energy Group, Inc. - Common Stock",Energy,Oil & Gas Refining & Marketing,54.240002,2.1905883529,0.37316460759,-0.016500452711
20,JKS,JinkoSolar Holding Company Limited,Technology,Solar,65.330002,3.4052597438,1.9695455455,0.093938394274
21,SAFE,Safehold Inc.,Real Estate,REIT-Diversified,67.470001,0.98557978222,0.2649044057,-0.024859097417
22,CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail,69.730003,2.0356990002,0.27663867222,-0.031662254363
23,BPMC,Blueprint Medicines Corporation - Common Stock,Healthcare,Biotechnology,98.919998,0.35265967534,0.3143767655,-0.054573250155
24,TPTX,"Turning Point Therapeutics, Inc. - Common stock",Healthcare,Biotechnology,104.93,1.3219739394,0.67192484614,0.0048841410627
25,PTON,"Peloton Interactive, Inc. - Common Stock",Consumer Cyclical,Leisure,126.1101,4.5726957832,0.91919193303,0.032673574369
26,LVGO,"Livongo Health, Inc. - common stock",Healthcare,Medical Devices,139.770004,4.7212445354,0.16416796875,-0.038720703111
27,TEAM,Atlassian Corporation Plc - Class A Ordinary Shares,Technology,Software-Application,198.399994,0.72972972266,0.20710630806,-0.050081427511
28,BGNE,"BeiGene, Ltd. - American Depositary Shares",Healthcare,Biotechnology,289.969696,0.50329046349,0.34631669268,-0.030979462337
29,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,300.024994,0.60733412392,0.18250430718,-0.02570308485
30,ZM,"Zoom Video Communications, Inc. - Class A Common Stock",Communication Services,Telecom Services,497.929993,6.452926327,1.0138725703,-0.035038112923
